source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
MEOX1	CKMT1B	MEOX1	CKMT1B	0.2100	-0.1111	-0.1391	-0.0859	0.2455
MEOX1	CKMT2-AS1	MEOX1	CKMT2-AS1	0.3034	0.3210	0.3095	0.2767	0.0006
MEOX1	CKS1B	MEOX1	CKS1B	0.3736	0.1564	0.1398	0.0817	0.1012
MEOX1	CKS2	MEOX1	CKS2	0.1543	-0.0950	-0.0951	-0.0716	0.3215
MEOX1	CLC	MEOX1	CLC	0.2578	0.5358	0.5015	0.5895	0.0000
MEOX1	CLCA4	MEOX1	CLCA4	0.2427	-0.1057	-0.0871	-0.1033	0.2698
MEOX1	CLDN3	MEOX1	CLDN3	0.3686	-0.0162	0.0046	-0.0225	0.8660
MEOX1	CLDN5	MEOX1	CLDN5	0.2907	0.3071	0.3008	0.3335	0.0010
MEOX1	CLEC10A	MEOX1	CLEC10A	0.2260	0.5317	0.4714	0.7519	0.0000
MEOX1	CLEC11A	MEOX1	CLEC11A	0.1567	0.4297	0.3746	0.5034	0.0000
MEOX1	CLEC12A	MEOX1	CLEC12A	0.4675	0.5828	0.5029	0.8606	0.0000
MEOX1	CLEC2B	MEOX1	CLEC2B	0.2439	0.1479	0.1261	0.3422	0.1213
MEOX1	CLEC4E	MEOX1	CLEC4E	0.1732	0.4766	0.3967	0.8253	0.0000
MEOX1	CLEC4M	MEOX1	CLEC4M	0.1707	-0.1715	-0.1569	-0.2073	0.0719
MEOX1	CLEC5A	MEOX1	CLEC5A	0.2863	0.3333	0.2790	0.3743	0.0004
MEOX1	CLGN	MEOX1	CLGN	0.1739	-0.0766	-0.0567	-0.0545	0.4241
MEOX1	CLIC1	MEOX1	CLIC1	0.1663	0.1784	0.1396	0.0989	0.0611
MEOX1	CLIP1-AS1	MEOX1	CLIP1-AS1	0.2471	-0.1354	-0.1200	-0.1002	0.1566
MEOX1	CLIP4	MEOX1	CLIP4	0.1691	0.0701	-0.0117	0.1155	0.4649
MEOX1	CLLU1	MEOX1	CLLU1	0.1968	0.0341	0.0495	0.0787	0.7221
MEOX1	CLNS1A	MEOX1	CLNS1A	0.1948	0.1582	0.1202	0.0698	0.0971
MEOX1	CLPP	MEOX1	CLPP	0.2435	0.2999	0.2492	0.1304	0.0014
MEOX1	CLSTN2-AS1	MEOX1	CLSTN2-AS1	0.2739	0.0716	0.0782	0.0774	0.4551
MEOX1	CLVS1	MEOX1	CLVS1	0.1452	0.0129	0.0419	0.0122	0.8932
MEOX1	CMKLR1	MEOX1	CMKLR1	0.2559	0.6469	0.6230	1.0173	0.0000
MEOX1	CNGA4	MEOX1	CNGA4	0.1722	0.1068	0.0978	0.0782	0.2647
MEOX1	CNKSR1	MEOX1	CNKSR1	0.3103	0.0438	0.0643	0.0251	0.6484
MEOX1	CNMD	MEOX1	CNMD	0.1617	0.1194	0.0898	0.0907	0.2121
MEOX1	CNN2P1	MEOX1	CNN2P1	0.1574	0.1242	0.0840	0.0857	0.1940
MEOX1	CNNM4	MEOX1	CNNM4	0.1973	0.1294	0.1581	0.0610	0.1759
MEOX1	CNP	MEOX1	CNP	0.2817	0.2331	0.1501	0.1048	0.0138
MEOX1	CNTLN	MEOX1	CNTLN	0.1874	0.0123	0.0099	0.0347	0.8984
MEOX1	CNTNAP1	MEOX1	CNTNAP1	0.1574	0.0311	0.0495	0.0311	0.7456
MEOX1	COASY	MEOX1	COASY	0.1804	0.2940	0.2100	0.1095	0.0017
MEOX1	COL13A1	MEOX1	COL13A1	0.2006	0.3091	0.3323	0.2726	0.0010
MEOX1	COL25A1	MEOX1	COL25A1	0.2248	-0.2474	-0.2416	-0.2661	0.0088
MEOX1	COL27A1	MEOX1	COL27A1	0.2701	0.1649	0.2366	0.1801	0.0838
MEOX1	COL4A2-AS1	MEOX1	COL4A2-AS1	0.2298	-0.1911	-0.1662	-0.1527	0.0445
MEOX1	COL5A3	MEOX1	COL5A3	0.2312	0.5894	0.5713	0.9792	0.0000
MEOX1	COL6A1	MEOX1	COL6A1	0.1876	0.4229	0.4637	0.6272	0.0000
MEOX1	COL6A2	MEOX1	COL6A2	0.2124	0.6186	0.6096	0.8835	0.0000
MEOX1	COL6A3	MEOX1	COL6A3	0.2987	0.4540	0.4257	0.4209	0.0000
MEOX1	COL6A4P1	MEOX1	COL6A4P1	0.1687	-0.2120	-0.2347	-0.1582	0.0255
MEOX1	COL8A2	MEOX1	COL8A2	0.3085	-0.0054	0.0062	-0.0058	0.9555
MEOX1	COLGALT2	MEOX1	COLGALT2	0.2163	0.3665	0.3622	0.4186	0.0001
MEOX1	COMP	MEOX1	COMP	0.1845	0.0050	0.0135	0.0038	0.9581
MEOX1	COMTD1	MEOX1	COMTD1	0.1699	0.1693	0.1033	0.1254	0.0757
MEOX1	COP1	MEOX1	COP1	0.2644	-0.1484	-0.1244	-0.0498	0.1201
MEOX1	COPDA1	MEOX1	COPDA1	0.1839	0.1390	0.1979	0.1901	0.1456
MEOX1	COPS5P2	MEOX1	COPS5P2	0.2105	0.0358	0.0733	0.0246	0.7090
MEOX1	COQ4	MEOX1	COQ4	0.1679	0.2639	0.2208	0.1164	0.0051
MEOX1	COQ8A	MEOX1	COQ8A	0.2095	0.2350	0.1708	0.0892	0.0130
MEOX1	COQ8B	MEOX1	COQ8B	0.1451	0.2966	0.2658	0.1356	0.0016
MEOX1	CORO1A	MEOX1	CORO1A	0.1918	0.2893	0.2265	0.1311	0.0021
MEOX1	COX5BP4	MEOX1	COX5BP4	0.2948	0.1459	0.1499	0.1166	0.1265
MEOX1	COX7A2P1	MEOX1	COX7A2P1	0.4034	-0.2102	-0.1587	-0.1827	0.0268
MEOX1	COX7BP2	MEOX1	COX7BP2	0.2750	-0.0807	-0.0780	-0.0603	0.4000
MEOX1	CPA2	MEOX1	CPA2	0.2461	-0.1385	-0.1429	-0.1012	0.1471
MEOX1	CPEB3	MEOX1	CPEB3	0.2173	0.1272	0.1863	0.0665	0.1835
MEOX1	CPED1	MEOX1	CPED1	0.1519	0.1082	0.1472	0.1219	0.2584
MEOX1	CPNE8	MEOX1	CPNE8	0.5365	0.2710	0.3485	0.5405	0.0040
MEOX1	CPOX	MEOX1	CPOX	0.1761	0.2300	0.2129	0.1165	0.0152
MEOX1	CPSF3	MEOX1	CPSF3	0.1844	0.0012	0.0012	0.0004	0.9904
MEOX1	CPT1A	MEOX1	CPT1A	0.2278	0.0309	0.0167	0.0249	0.7476
MEOX1	CPT1C	MEOX1	CPT1C	0.2069	0.1285	0.0173	0.1764	0.1790
MEOX1	CPVL	MEOX1	CPVL	0.2810	0.5122	0.4659	0.9882	0.0000
MEOX1	CRABP2	MEOX1	CRABP2	0.2073	0.0132	0.0107	0.0082	0.8908
MEOX1	CREBL2	MEOX1	CREBL2	0.1454	0.2353	0.2327	0.1382	0.0129
MEOX1	CREBRF	MEOX1	CREBRF	0.2348	-0.0849	-0.0634	-0.0342	0.3759
MEOX1	CRHR2	MEOX1	CRHR2	0.1450	0.0691	0.1007	0.0520	0.4714
MEOX1	CRIP2	MEOX1	CRIP2	0.1650	0.0311	0.0094	0.0463	0.7461
MEOX1	CRIP3	MEOX1	CRIP3	0.2241	0.1039	0.1282	0.1291	0.2777
MEOX1	CRK	MEOX1	CRK	0.1867	0.1252	0.1537	0.0611	0.1904
MEOX1	CRLS1	MEOX1	CRLS1	0.1606	0.1266	0.0832	0.0516	0.1856
MEOX1	CRPPA-AS1	MEOX1	CRPPA-AS1	0.1853	0.0644	0.0513	0.0624	0.5018
MEOX1	CRY1	MEOX1	CRY1	0.3292	0.0185	-0.0361	0.0413	0.8473
MEOX1	CRYL1	MEOX1	CRYL1	0.2356	0.1610	0.1358	0.1198	0.0915
MEOX1	CRYZL1	MEOX1	CRYZL1	0.1712	0.1224	0.1258	0.0617	0.2006
MEOX1	CSF1R	MEOX1	CSF1R	0.2608	0.4981	0.3933	0.6204	0.0000
MEOX1	CSF2RA	MEOX1	CSF2RA	0.2327	0.5061	0.4450	0.7400	0.0000
MEOX1	CSGALNACT2	MEOX1	CSGALNACT2	0.3197	-0.2339	-0.1856	-0.1156	0.0135
MEOX1	CSK	MEOX1	CSK	0.2305	0.2876	0.2262	0.1501	0.0022
MEOX1	CSNK1A1L	MEOX1	CSNK1A1L	0.1841	0.0668	0.0794	0.0458	0.4859
MEOX1	CSNK1G2P1	MEOX1	CSNK1G2P1	0.2257	0.1753	0.1675	0.1480	0.0658
MEOX1	CSPG4BP	MEOX1	CSPG4BP	0.1645	0.1023	0.0894	0.0942	0.2853
MEOX1	CST3	MEOX1	CST3	0.3481	0.5165	0.4839	0.9612	0.0000
MEOX1	CST7	MEOX1	CST7	0.1589	0.5076	0.4740	0.6692	0.0000
MEOX1	CSTB	MEOX1	CSTB	0.2528	0.1904	0.1353	0.1287	0.0454
