Feature,Importance
CAPN9,0.08482777752634138
PAX5,0.06341459252219647
ITGAE,0.048788902966771276
NPC1,0.0455230233296752
CREB5,0.03459955557994544
PRKG2,0.0345813634567894
ZFHX3,0.034148780203890054
PRKAA2,0.033658290794584905
ADAMTS18,0.032624407583847645
NR1I2,0.03180813471507281
AGTR1,0.031170383725780994
ABCC11,0.03062117127561942
EHMT2,0.03045287221996114
AGR2,0.030135553407017145
NOL3,0.0300976895513013
BCL11B,0.02704465534375049
PRSS23,0.02626304487022571
NEK10,0.025714788920478897
ENPP4,0.02531720078573562
SDHAF3,0.024780698956223205
PSTPIP1,0.02476371348160319
IMPA2,0.024258562243543565
PTK6,0.023620618695160377
MFGE8,0.023329068584600463
EFEMP1,0.02331185719021596
MESP1,0.02221185229253024
ZSCAN18,0.0220225874343887
GRB14,0.02196285616303794
TBX3,0.02164175022323616
GSTM5,0.020830216625938192
NPNT,0.020698578788200396
ERBB4,0.019849957586149686
LAMA2,0.019606408389052376
CMPK2,0.019225288518704475
PDPK1,0.01917202977067791
GUK1,0.01892853500135243
ADGRG1,0.01892111841891892
PIGV,0.018796427334193143
ADAMTS15,0.01840431604348123
SPDEF,0.01808844761934597
SLIT3,0.017562076686881485
RET,0.017214787503238765
DEK,0.017170639526098964
HMGCS2,0.01706448766950052
STK36,0.016773592304438353
FBXL7,0.01669868883374147
CYP4F11,0.016682749972911554
INPP4B,0.016399892239132897
CA4,0.01623842269857414
PADI2,0.01623296810197644
DLX5,0.01599711915384978
MCCC2,0.014800205672625452
TM7SF2,0.014797126434976236
ABCC8,0.014551343454979361
LIPH,0.014175432676333002
SLC26A3,0.014173747331486082
DEFB1,0.014131657578982413
TSC22D4,0.013963873048545794
GSTM3,0.013915343856089748
INPP5J,0.013755941742798313
KDM4B,0.013630761789390818
SCN2B,0.01359053486888297
IVD,0.013516156237921677
RBM11,0.01319127973553259
AR,0.01314722674258519
VCAN,0.013002608259557746
CGA,0.012654865788659663
SLC13A2,0.012622084679547698
S100A4,0.012591666172840632
CA12,0.012572408589534461
GRIK3,0.01256862989522051
GRP,0.012375094663584605
ANXA1,0.012315742898616009
XBP1,0.012313205404323527
UNC5A,0.012138274723081849
EPHB2,0.012016131783137098
LINC00926,0.011869848477072082
BYSL,0.011764440778642894
KHDRBS3,0.011717264778562822
GPER1,0.01131805674242787
NCK2,0.01128079444344621
MID1,0.011229624258354307
ATP1A4,0.011026563061401248
EMX1,0.010980163538479247
GABRP,0.010974887239048256
PCBP4,0.01085979020711966
ADCY4,0.010856518633780069
F7,0.010612218318856321
CYP4A22,0.010611875153379514
CDC20,0.010566972498083489
ATP7B,0.010549361801124178
TTBK1,0.010511877693934368
PCBD2,0.010495535082183777
ERI2,0.010487816854962147
ZNF552,0.010401972068473698
ADHFE1,0.010389901604386978
PPM1L,0.010295269750640728
ANOS1,0.01022225003875792
IGBP1,0.010218775984598322
RIPK3,0.010116788707324303
TRIM6,0.010115910794469527
TRERF1,0.010096411281730978
NEDD4L,0.009986275968374685
BLM,0.009933251269743778
CPA3,0.009914635382941924
UTP4,0.009898956104065292
ADAMTS16,0.009820771165192126
SEMA3G,0.009795046592713335
FLT3,0.009663382699713112
DHH,0.009662372782011517
GPRC5B,0.00964285977592226
ADAMTS12,0.009611848217784429
TBX6,0.009524636622285471
PRDM6,0.009494506317540072
SLC2A10,0.009415504553704521
POLR2B,0.009415423911064862
SLC44A4,0.009302819564705715
AGXT2,0.009275513838976622
ENO1,0.009214081001235172
ROBO2,0.009185505601693875
TFAP2B,0.009184193241293543
FOXC1,0.00908813959674444
HTRA2,0.008948581346892751
PTPRH,0.008900576891261152
GPR84,0.008899177786195651
SULT1A1,0.008857965515111574
ZNF93,0.00885551421623677
POMC,0.008823109240387567
NRP2,0.00878551811131183
TPSAB1,0.008765987116668839
ADAD2,0.008702886379673145
PTPRT,0.008681409909157082
SLC35F3,0.008608968868968076
ECHDC1,0.00860468736907933
HHAT,0.008585190403391608
HSD17B8,0.008475819703715387
DKK1,0.008412548296444583
ZBTB7C,0.008407767971977592
SLC27A2,0.008406399169471114
KLK7,0.008402491764281875
WNK4,0.008392048383306247
MID2,0.008361250437097623
ZNF214,0.008350784803857095
GLI3,0.00832829339581076
MARK1,0.008230382390320302
ZFP62,0.008209696008416359
CA9,0.008152549039397855
BIRC5,0.00814534077909775
ZBTB42,0.0081227064213017
ZIC1,0.008115987860539462
GATA3,0.008076751238841098
HIF1AN,0.008035373667022214
DCLK1,0.008008810603118036
SLC9A1,0.007972399940015747
CALCR,0.007970211221196222
MGAT4A,0.007965501473867334
PCSK6,0.007940462462836877
MOCOS,0.007939883448416368
ECM1,0.007915020418702625
ARHGAP22,0.007913517936714924
RBM24,0.007869026746717281
CHST1,0.00781329379498493
TIMP3,0.00781107937550405
CAPN13,0.007748041034210474
TGFB3,0.007703326482907869
SCNN1A,0.007690511809312739
CHI3L1,0.007669365887297317
MSX2,0.007669091909483541
DLX6,0.007619827602757141
HERC5,0.0075967157884733755
E2F2,0.007579616393777542
FOXL1,0.0075477956363465635
THEM5,0.00751495214982424
ZNF92,0.007511195740778931
ATP1B2,0.007485829841461964
CDK6,0.007456706473371015
RPF2,0.007412158201914281
PSAT1,0.007400918576866388
EZH2,0.007395709083415568
SULF2,0.007359714070975315
CCNE1,0.007325013649184257
HOXD9,0.007301006171968765
GATA3-AS1,0.007294699462130666
F13A1,0.007283180359634571
TP53TG1,0.0072329801645246335
OXTR,0.00721113543305546
UGT2B15,0.007200945058197249
ETV6,0.0071864595141960304
RAPGEF3,0.007177744977932889
SFRP4,0.007169620104716159
LPIN1,0.007167994138901122
RPS6KA4,0.007167886057519354
GPC5,0.007164927344187163
MMP1,0.007160999423009344
STMN1,0.007129963487619535
NEURL1,0.007121799977554474
SEMA3B,0.007091813423263375
ANKH,0.007078276870888658
EN2,0.00706333387689665
TRPM6,0.007059894214966334
EXO1,0.007009947410551831
FUCA1,0.007001758834347128
MAP4K4,0.0070007290313951675
LBR,0.006985482118441723
MYBL2,0.006952494907192886
FOLR1,0.006928788482793607
AQR,0.006912457985104993
HTRA4,0.006897877071343828
VWF,0.0068784800231806
AMPD2,0.00685411756002577
CELSR2,0.006841171891894191
GRIN1,0.00681502167636063
PTHLH,0.006802927662152796
FBXL2,0.006799141325347591
TNRC6C,0.006792761976830661
CHST8,0.0067868641008972195
DHCR7,0.006768375798827038
GLRA3,0.006742994482803624
KLK4,0.006734459454601166
CILP,0.006728850580460858
EPHA3,0.006701778422866482
RBM38,0.006695894699194469
ITGA3,0.006677396185812541
S100A8,0.006670744854170607
NPC1L1,0.006650785806821659
PDK2,0.00665062228764873
PDE6B,0.006588317423942499
FBL,0.006557943217456341
WDR75,0.006554468214162625
GIPR,0.006496941458026413
MATK,0.006459490902605466
CDK1,0.006431616145535372
NQO1,0.006396154352580197
PGR,0.0063850196340936236
SMARCE1,0.006383084553293884
SLC24A1,0.006378886653925293
NPM3,0.0063727978564566004
CTSF,0.0063557363887084654
BCAM,0.006343947499233764
FOXM1,0.006313341435918119
MEX3B,0.006298559355840553
FOXP3,0.006291399267502129
CASP1,0.006289824569190387
CCNB1,0.006279347940930165
CMPK1,0.006233679753728211
HPGDS,0.006208230560820083
MAST4,0.006199903626926243
DUSP4,0.006199028255010489
KLRD1,0.006128497974306811
PCSK4,0.0061278635009075514
E2F8,0.006103465997905005
LGR4,0.006086047239077743
P4HA3,0.0060833103153854606
PHYKPL,0.006078768502746243
CEBPB,0.006055249913246371
CX3CL1,0.006025811441941187
PLA2G4A,0.006024763319292106
SMARCA4,0.006001158196653705
SCN7A,0.00599091570492601
AXL,0.00598447894124547
MED8,0.005977468612545635
FUT8,0.005951578293577768
TYRO3,0.005950644161086529
PROX1,0.005946005802310538
TPSB2,0.00592412555514602
CERKL,0.005923135626537259
RPL8,0.0059078892460674975
PRPF40A,0.005901727163465694
CREB3L1,0.005897847367450595
SF3B5,0.005878931231680326
APCDD1,0.00586966205475619
STARD13,0.005865413540916051
CTPS1,0.005857251508452464
TRPV4,0.005843050088384189
PTCD2,0.005839773634565063
HACD1,0.005824762445641682
KCNMA1,0.005818716783483978
LRRC4C,0.005796563181094825
THBD,0.005795869171794038
PAX2,0.005772050436178688
YES1,0.0057465035518980585
ADM,0.005730646247393452
THRB,0.005726130858762189
ZNF154,0.005719271908688825
PABPC3,0.0056962348466040565
LMTK3,0.0056811911469558255
LTBP1,0.005674629067536444
ZNF695,0.0056558703944901935
GLDC,0.005645604186516721
PTPN2,0.005632882212405093
OTULIN,0.005631035323429387
DRD1,0.005613652139669284
CHST3,0.005607372406753712
SLC36A4,0.005590915887849405
ADCY9,0.005533340372319799
SRSF12,0.0055282849066425116
SCNM1,0.005521560478548054
ZPR1,0.005512176270654891
TBP,0.005503664295130875
PRPSAP1,0.005492324062273838
PLAUR,0.005485591340693645
DUSP3,0.005470514537708368
GRM6,0.005461363715818152
FZD5,0.0054529242141288705
NFATC4,0.00544856233423343
FUT7,0.005438261161209084
TFAP2A,0.005434017103340011
ZNF423,0.005432149804953951
APEH,0.005404630445409566
TLR1,0.005391636508342344
SOCS2,0.005390251014265232
RNF8,0.005387892433907837
TCF19,0.005373587476147804
ZNF367,0.005340596446476411
PER2,0.005335599658894352
MATR3,0.005319953937316314
JAM3,0.00531417705747299
SYNCRIP,0.0053117934032343335
VIP,0.005311044392059558
ZNF233,0.005294380298466421
SF3B6,0.005288220338115934
ACSL6,0.0052840858422569
AGO1,0.005282674327201676
ADARB1,0.0052730556398746554
LAG3,0.005269272304605692
UGT2B17,0.00525457989575807
GPC2,0.005252106004103552
DUSP5,0.0052518688904820005
EGR3,0.005250814113009255
GPX2,0.005249896959052421
TLR6,0.00523787151905708
CHRM1,0.005223439648398198
PTK7,0.005206899823853747
EDN1,0.005171800500480458
MED27,0.0051658123755478295
DLAT,0.005163382944301702
SOCS1,0.0051618938568281005
EYA4,0.005148320170468651
SLC25A13,0.005148221388284583
GDF9,0.005136561549908948
SLC6A9,0.00510525704745669
RHOT2,0.00510115361266071
ADH1B,0.0050904885592754
GPC3,0.005089020627667196
GNMT,0.005084418142971117
ALDH1A3,0.005056337343004998
ZNF20,0.005037949656834826
GPR39,0.00502087700687116
GRIK5,0.00500227119756164
SOX6,0.00500199609081028
HPN,0.0050004474868183026
GATA2,0.004998753367981407
PLCD4,0.004977542507403995
ST14,0.004963364081515465
KLF4,0.00495517047442263
PSMA1,0.004952783116372302
TAL1,0.004931289901433046
FUT3,0.004929276638897136
CRABP2,0.004921655220910906
ECI2,0.004918088032514789
GCNT3,0.004895592545333784
RNF168,0.004887335618608631
FOXC2,0.004886057909519877
PRSS3,0.004879084415006218
RLF,0.004865803346037865
ZNF484,0.004865228321403265
TCF23,0.004860144676466007
ADAMTS9,0.004835098373237997
YWHAZ,0.004830438030359801
SLC12A1,0.004829607680032495
NEDD4,0.004826479008654133
ALDH3B2,0.004803694551344961
CAPN14,0.004797975338471587
ACER2,0.0047923279815586285
SRMS,0.004788902441359823
ATXN2,0.004772459662985056
NFIB,0.004762263649317902
ALDH6A1,0.004751927604374942
SDR16C5,0.004744730797887314
ESR1,0.004744633603782859
DCAF11,0.004736615201749374
GATA1,0.00473103919334244
AGO2,0.004719025444414
ZBED2,0.004717789869231638
ABCB4,0.004697463810036424
ZNF711,0.0046920985513716
B3GAT2,0.004680888221948407
IRX2,0.004676589985028841
FUT2,0.004674088386353106
CPO,0.004666008733503986
ENPP1,0.004665331302792765
ADGRE2,0.004661409641616047
SPP1,0.004657025344087742
FOXA1,0.004632628382532858
FBXL5,0.00462632792891236
SLC30A3,0.004615264527499675
SLC43A2,0.0046100850860239006
NUDT4,0.0045959448943031014
ZNF835,0.00457215042586904
TCF20,0.004558359548624139
PPM1G,0.004557387447741349
TSHZ1,0.0045474965437315405
ERI3,0.0045466107761603786
TNN,0.004536354923853651
SAA1,0.004520318096503616
GRIA1,0.0045201352080330255
ADCY5,0.004510173943592235
PRKCA,0.004507627682469319
MOGS,0.004498114669753704
ZFP57,0.004494693796208594
SLC6A15,0.004479619139194256
NFIA,0.004474432251008693
RORC,0.004459915185987484
MTMR2,0.004458750940510072
ADAM12,0.004446608999976888
PSPH,0.0044379015571903435
ICAM1,0.004428963884885889
MAP3K12,0.00442051671934314
DDX11,0.004406576692475937
SNRPN,0.004394359719590284
ARHGAP10,0.004377470679115504
SIRT3,0.004376927853154484
SLC45A3,0.004376561596873217
VIPR1,0.004376034770917614
GFRA1,0.004374507916654693
ZBTB10,0.004373447794292587
HDAC9,0.004369761531241238
PTPN13,0.004363026899460238
SNRNP200,0.004362344478722661
TBX5,0.0043556986122857775
ZBTB46,0.0043544978435966185
KCNJ3,0.004349808046536055
LYL1,0.0043461142243468205
RPS6KA2,0.004340388428186998
ZNF563,0.004339971513138153
ACMSD,0.004323060441878624
IDUA,0.004317489594744984
FGF1,0.004316263919754419
SIM2,0.004312842887826265
TYMS,0.004308451362303458
