,x,y
AC006460.2,4.195487,2.6131904
AC099552.3,-4.779905,4.848886
RP11-179B15.5,-3.7078435,4.3284407
AC068057.1,-2.5157027,3.9168327
AC009411.1,-5.327879,3.1731956
RP11-526K17.2,-3.6951082,2.993839
AC073326.3,-2.2405298,3.0159307
AC093159.1,-1.5834471,6.243473
GS1-519E5.1,-3.576906,3.4604714
RP11-108M9.3,2.6684792,1.9348933
RP11-391J2.3,-2.0724766,2.4778867
AC004837.5,0.24045773,2.8394775
RP3-340B19.3,-0.58099127,3.2019901
RP11-550P17.5,-4.7059717,3.3925772
RP11-114M1.1,-6.1153555,5.824309
AL133247.2,-4.75256,2.8568301
RP11-170M17.1,-0.87352455,3.629655
RP11-279N8.1,-1.0353274,2.8821251
AC010731.2,-2.347361,3.9762402
ENSG00000228583,-1.7263832,1.5207181
AC005042.5,-4.5038013,4.890753
RP1-41P2.7,-4.5168953,3.3657415
MIR4432HG,0.91657466,1.9081593
D21S2088E,-4.563002,6.660518
AC013436.5,-4.5945725,2.8629086
RP5-872K7.7,-1.1544403,2.84096
AC144450.1,-1.4665388,4.8648
AC012462.3,-4.9465265,3.2364633
RP3-434P1.6,-4.0719967,5.881231
RP1-302D9.1,-4.593512,4.4837213
RP11-1B20.1,-2.0550396,2.580837
GS1-278J22.2,-3.8332343,5.0867915
AC092295.4,-1.5012724,5.0342755
RP4-534N18.2,0.80501527,3.310758
AC079779.4,2.8883064,4.6450944
RP11-568A7.2,-4.162404,5.5106053
AC008940.1,-6.119889,5.8930144
AC096558.1,-0.5648334,1.767301
RP11-791O21.5,-4.5884495,4.7227845
AC006482.1,-3.8472924,4.107974
RP4-676J13.2,-2.546547,2.941792
AC004692.4,-3.7082827,2.684692
RP11-31E13.2,-4.4293947,4.4739056
RP11-492I21.1,0.34823975,2.1827495
RP3-335N17.2,1.1081437,3.3294375
RP5-826L7.1,0.15556347,4.22579
RP5-968D22.3,2.4795609,3.332665
RP5-1160K1.6,-4.94788,4.8331385
RP11-787B4.2,-4.9334016,4.4961085
AL109763.1,-6.004825,5.5116076
RP11-284G10.1,-6.0421968,5.58381
RP5-1119A7.14,-5.696337,5.538754
RP11-335E6.3,-2.3506153,2.9450567
GS1-18A18.2,-5.326884,4.2146115
AC008781.7,-0.47092122,3.6077719
RP11-218I7.2,-5.062535,4.6627936
ENSG00000228741,-3.703844,5.227921
RP13-39P12.3,3.4979103,2.4870691
RP1-309H15.2,-4.1275735,2.8635457
RP11-129J12.1,-4.67557,4.5332017
Z69666.2,-0.09519491,3.244833
RP11-354K1.2,-1.9061886,3.735287
RP1-223B1.1,4.6024976,3.5165224
RP11-253D19.1,-4.0530787,3.9645286
AC073641.2,-4.4866357,4.5092816
RP11-211G3.3,-3.1102917,1.7804148
RP4-705D16.3,-0.42421663,2.6813817
RP11-344P13.4,-3.7099886,5.920307
RP4-781K5.2,5.263601,1.9375337
AC012123.1,-2.4522238,4.3587584
RP4-784A16.2,-1.710903,3.556126
RP11-112J3.15,-4.156829,4.7514057
RP11-57H12.5,2.0479133,2.7794201
RP11-91I20.3,3.6958177,3.527388
RP11-404F10.2,4.074988,2.9251144
AC012307.2,-4.134227,4.088582
AC010745.2,0.9516631,4.156338
RP11-473E2.4,-4.415383,4.178061
RP11-290D2.3,-2.0326142,2.6854632
AC097381.1,-2.0847547,3.2642622
AP000355.2,-3.7117252,6.0982895
AC016722.4,3.601554,2.9391034
RP11-268G12.1,3.17068,3.8757427
AC004485.3,-4.640448,6.1093006
AC023137.2,-3.8059583,4.4911914
RP5-1121H13.3,-4.9274406,2.9773562
AC096554.1,-4.7530785,4.6322494
AC009955.8,-2.7995524,4.415651
RP4-677H15.4,-2.4358037,2.6460724
LINC01830,0.76950717,4.490329
GS1-542M4.4,-4.707057,4.5869875
RP11-88I18.3,-3.5040247,3.505843
AL591893.1,3.6262634,2.5147655
AP001595.1,-0.39991683,2.7611294
RP1-232N11.2,-4.8937645,2.3247082
RP11-266K22.2,-4.3976994,3.6041107
AF127577.10,0.95143986,2.5105436
RP11-80I15.4,-3.2102742,3.723698
AC096649.3,-5.6286736,3.7168705
ENSG00000229075,-4.579935,4.4672265
RP11-20J15.3,-3.0033538,4.2635384
AC068491.2,-2.2127817,3.2278967
ENSG00000229126,-4.32275,2.7463992
AC016710.1,-4.7416143,5.3529205
RP11-348F1.3,1.5665003,2.8599575
AC009229.6,-5.4230733,4.3630137
RP11-73M7.1,-2.2657166,5.2590146
ENSG00000229170,-1.0444543,1.6885862
AC008154.5,-6.0146217,3.3583333
AC069513.4,-0.08245009,4.44922
RP4-553F4.2,-5.14562,4.876812
RP11-390B4.3,-0.9527505,2.5922801
RP11-168O16.1,2.226045,4.253993
AC004870.3,-4.7361565,4.198414
AC009495.4,-4.429538,5.198181
ENSG00000229199,-4.2726936,2.9896748
AC103564.7,-4.477969,2.9152913
RP11-397O4.1,-3.2037401,2.6320617
AC073987.1,0.44202572,4.7200933
AC105398.3,-4.707118,2.5251331
RP11-5P4.3,-4.7154546,4.902392
RP11-38L15.2,3.7035005,2.6008372
AC022201.4,-0.90305525,2.7757175
CTD-2320J21.2,-5.351411,4.510023
RP5-1111A8.3,-4.7070713,2.7423549
RP11-407H12.8,-5.6546082,5.095052
RP11-229P13.22,-0.5507935,5.3026223
RP11-227H15.4,-1.7632499,4.8520308
RP4-726N1.2,-4.7262316,4.345002
AC004691.5,-4.822116,4.7788033
RP11-298A8.2,-4.746604,4.841527
AC091493.2,2.2765992,3.1718383
RP11-498J9.2,2.2689064,3.3188803
LL22NC03-121E8.3,-5.4469614,4.726892
RP11-483F11.7,-0.12504183,4.4510098
RP1-40E16.2,-0.92304325,4.02195
RP5-1125M8.2,-4.396847,3.3439755
AP000431.2,-5.3803267,4.9555917
RP5-1044H5.1,-3.5143158,2.7960987
RP11-540H22.2,-5.429867,4.0343103
RP5-905H7.8,-5.419706,2.786827
AP001464.4,-5.2771506,3.023764
AC010084.1,-3.6188805,4.8511834
RP11-452B18.2,-5.286006,5.021386
RP11-475I24.8,-1.1057281,2.5415215
RP11-470P21.2,-4.1860156,4.3842134
RP3-425P12.5,-4.114009,2.4270003
AC008269.2,3.2377465,3.1795897
AC006947.1,-1.814316,2.7212515
AC079305.8,3.108025,2.0549843
RP11-332M4.1,-5.8006663,3.9490755
AC090587.4,-0.22531395,3.5706718
AC092635.1,-5.7428756,4.9759674
AC006041.1,-5.2336082,4.712846
BX322557.13,-4.2887464,4.8179793
RP3-395M20.3,-3.1254134,4.6663113
AC013401.1,-4.5660424,4.7143683
AL162151.4,-2.3675954,2.0810716
RP4-718N17.2,-4.7837634,4.5913086
RP11-12M5.3,-4.308693,2.9024632
RP11-35J23.1,-5.8387785,4.4555855
RP11-262H14.13,3.3655632,1.8512506
AC007349.4,-4.961603,4.653846
AJ006998.2,3.9537942,3.2481701
AC017048.1,-3.4843872,3.2476122
RP11-202I11.2,-4.865645,4.725584
RP11-202D18.2,-3.487849,2.6567693
AC023669.1,-5.1800895,4.72693
RP11-342D14.1,0.73547727,4.5232954
AC012494.1,-4.173962,4.2804794
RP11-173D14.3,-5.267075,3.0335631
AC105053.3,1.4509248,2.9914382
RP11-52J3.2,-1.2846636,2.348351
AC068580.5,-4.9730797,4.7632804
RP5-1066H13.4,-3.9372756,4.299772
AC003986.5,-4.5640807,3.48952
RP11-90J7.2,-4.494147,4.5618873
AC012445.1,-5.151775,4.8913417
RP11-481G8.2,0.79587364,3.5007675
RP11-197P3.5,1.7543676,4.016084
RP11-479J7.2,-2.9533703,3.6842113
RP5-981O7.2,0.7898688,2.9449694
RP11-524K14.1,-4.985947,4.727896
AC004014.3,-4.934049,4.939681
RP5-1125N11.1,-4.8643827,4.857473
AC011288.2,3.4097455,3.5821362
RP11-44N12.2,1.0382371,4.6441746
AC073115.7,-3.893571,2.4112022
AC027119.1,-5.3086114,5.1211863
RP11-330A16.1,-4.4089756,4.161417
RP5-1142J19.1,-3.257296,5.1536
RP11-536K7.5,-5.9267845,5.3440247
RP11-184A2.3,0.75241524,4.418786
LL22NC01-116C6.1,-5.412051,4.163216
AC007327.5,-2.4994032,2.5073442
ENSG00000229694,-2.2500505,4.341334
RP1-140J1.1,-4.5676723,3.3691766
RP11-449O16.2,-4.225493,5.234952
RP11-556N4.1,1.9920765,3.8469827
RP3-495K2.2,-2.161143,2.8318627
RP11-557H15.5,-4.5975966,4.3808413
AC013460.1,0.6786957,2.879348
RP11-314N13.3,1.537182,2.579364
AC019349.5,-4.4418383,4.8409553
U91324.1,-3.665911,5.9649906
AC096649.2,-1.0612268,4.7014284
RP11-142M10.2,-3.4882653,2.631689
RP5-827L5.2,-4.766352,3.3463926
CTA-796E4.4,-2.7879248,3.9647775
RP4-644L1.2,-4.2947617,4.034453
AC018866.1,-4.742144,3.955364
AC016751.2,-4.868595,4.8285108
RP11-385E5.5,0.6797746,4.4185753
AC140481.8,-0.3768358,3.9485886
RP11-567E21.3,-4.2809124,2.8132775
ENSG00000229823,-4.400146,4.6861453
RP11-384C4.2,-1.1486319,2.4262483
AC018462.2,0.64373296,2.9617403
RP11-141A19.1,-3.9683683,3.4304757
RP13-766D20.2,0.70840645,3.200937
RP11-524G24.2,-6.0220366,4.0354295
CTC-546K23.1,-0.9785749,2.7455344
RP11-321E8.4,-4.9058433,4.3713064
RP13-30A9.2,-4.55804,4.3215823
RP11-456H18.2,-1.2198547,4.495001
RP11-206L10.4,-0.7613608,2.6200142
AC128709.4,-4.928876,4.853694
RP11-378I13.1,-5.8513865,3.2454236
AC016999.2,-1.0251466,3.5429652
RP11-102N11.1,-4.7376137,4.7181907
AP001043.1,-3.8603766,3.775693
RP11-93N20.1,-5.873852,4.0499525
RP11-284F21.7,2.6290123,1.765925
RP1-5O6.4,-0.4166077,2.6949313
RP5-998H6.2,-3.6645217,3.0847542
RP11-278H7.4,-5.751716,3.8803995
AP000221.1,-3.2480567,3.7919514
RP11-135A1.3,-5.9355006,4.5315843
RP11-96C23.10,-5.2788296,4.760565
AC007128.1,-1.4765301,4.791917
RP5-1119A7.10,-4.68656,4.651674
RP5-1031J8.1,-4.747594,3.4469407
RP11-15I11.2,-5.5278044,3.9352434
AP001042.1,-5.1161256,4.698645
RP11-574K11.8,-0.87047505,2.4520519
AC093585.6,-3.4786322,3.839923
RP5-905H7.11,-5.2448645,2.661132
RP11-70J12.1,-2.955078,2.7756393
RP4-568F9.6,3.6276114,3.2724957
RP11-80B9.4,-5.3233986,2.8772914
RP11-550H2.2,-5.7083664,3.1280036
RP11-505C13.1,-2.173831,2.4178257
RP5-1121A15.3,-5.8798313,5.3913856
CTA-929C8.8,-3.5796566,2.8391294
RP11-384C4.6,-2.025079,2.400314
AC010974.3,-4.120713,4.1777925
RP11-195F19.9,4.845316,2.3367653
ENSG00000230089,-4.792022,5.10576
AC108025.2,-2.071977,3.8135002
RP11-34C15.2,-2.4553766,2.8959405
RP11-344N17.8,-5.047713,3.440241
RP11-431N15.2,-0.4679561,2.8954737
CTA-126B4.7,-1.5027702,1.5358224
AC091177.1,-3.5362692,3.5988371
RP1-90G24.8,-4.9149094,2.5222318
RP11-385N23.1,-4.523037,4.3198485
RP3-508I15.19,3.1602955,1.8067992
ENSG00000230150,-5.7626166,4.126542
RP11-232D9.3,-4.7797403,5.180756
RP5-997D16.2,-4.216605,2.4951456
AC090957.2,-4.8024716,4.141085
RP5-998N21.7,-5.332256,4.8178935
AC005518.2,-3.4810727,2.6784973
RP11-160E2.17,-4.046337,2.22837
RP11-631F7.2,-4.5008516,4.5435786
RP4-697K14.3,-3.6646845,3.9489076
RP11-90J7.4,-4.001703,4.5257893
AF240627.2,-5.6634035,4.0544596
RP1-276N6.2,-3.332544,5.119389
RP1-128O3.4,-2.1595342,2.5641837
AC002539.1,-4.802287,5.6364574
RP11-75C23.1,-5.900971,4.496429
RP11-290M5.2,-4.684068,4.6709633
AC013472.4,-3.100744,4.028808
RP11-334J6.6,-1.0897956,4.098765
RP11-253D19.2,-5.363886,3.965525
RP11-213G2.2,4.021305,3.096357
RP3-390M24.1,-3.5163798,4.6945534
RP3-323N1.2,-0.9638377,2.0280163
RP11-385F5.4,2.2657309,2.2557976
AC004538.3,0.17484665,3.008986
RP4-614C15.3,-5.3762717,4.8354564
RP11-23D5.1,-2.045833,3.0801866
AP000146.2,-5.3692408,4.5439334
RP4-655J12.5,-5.222036,4.836557
AC012507.4,-2.2197895,6.2533617
RP4-737E23.7,1.9364699,3.021033
RP5-1139I1.1,3.635306,2.8039591
AC092667.2,-0.6436488,3.761457
RP5-855F14.2,-5.8612013,5.527962
XX-C2158C12.2,1.4247174,3.3783855
AC114803.3,-2.9853053,4.0606456
RP1-20B11.2,-0.7824125,2.3692517
AC004160.4,-1.3303064,3.1272864
RP11-102J14.1,-5.53632,4.1993613
RP13-329D4.3,-4.891346,4.6985297
U73166.2,3.618644,2.5500536
GS1-115G20.1,-1.95198,2.6335301
LA16C-2F2.8,0.9863534,4.1101046
RP1-28O17.1,-3.8302155,3.6459882
AP000695.6,-2.4971993,4.8683305
AC124057.5,-6.015724,5.498007
RP11-141M1.3,1.5738164,2.6178932
RP4-753D10.5,0.83199996,1.7809398
RP4-564M11.4,-2.6058896,3.4806018
AC108463.1,-1.4172882,4.7835484
RP11-416N4.4,-4.080184,4.5176287
AC092580.3,-4.7588096,4.7267637
RP11-555J4.3,2.292662,3.3508432
RP11-472G21.2,-4.7120886,4.8076444
AC091133.1,-4.6999974,4.982581
RP11-297A16.2,-1.7179408,4.72404
RP11-379C10.4,-1.1907499,3.0897048
CTB-89H12.4,5.973883,2.6590326
AC092162.1,-0.94210017,2.7857082
RP5-828H9.1,-3.8291056,1.9270798
AC114763.1,-1.4967872,2.6403422
RP11-369F10.2,-2.2242415,2.5662544
RP3-331H24.4,-3.076941,2.9822118
AC018495.3,-5.416755,4.6541743
RP11-73B2.2,-5.754015,3.647765
AC004237.1,4.430364,3.6885545
RP5-1198O20.4,5.1778846,2.909008
RP11-469A15.2,-4.5613656,6.8571715
RP1-155D22.1,-3.6322784,3.8195882
RP4-781K5.6,-3.6721756,5.7545357
RP11-359N11.1,-4.6632056,4.4411583
AC022816.2,-3.4555714,5.684212
RP3-406P24.3,-3.7753475,4.087303
AC024084.1,1.2249734,3.248991
XXYAC-YR29IB3.1,-4.587071,4.6344504
RP11-65J3.3,-5.2621865,3.5264544
AC004869.2,-5.065904,2.5685723
RP11-409K20.6,-1.577683,2.244847
AC067945.2,-5.5520706,4.576429
RP5-1114G22.2,-5.4616365,4.2475147
AC013402.5,-5.0640903,4.071023
RP11-62F24.1,-3.1627936,3.1210108
AC011753.5,0.3903515,4.4522924
CTD-2330K9.2,-4.782426,2.7353163
RP11-54O7.1,2.8687494,1.6135353
RP1-117P20.3,-5.713149,5.291411
AC104024.1,0.5844336,2.4108646
RP11-152L7.1,-5.4622726,4.177564
RP4-738P15.1,0.06300306,3.2369514
RP11-240D10.4,-4.574534,4.8117685
RP11-296L22.8,-4.3438168,4.688903
AC074011.2,-2.247862,2.6083827
AC127904.2,2.9461172,3.4005334
AC092171.4,3.1853688,1.8028944
RP11-413E1.4,-1.608507,2.1109958
RP1-149A16.3,1.919855,2.4312196
AC106870.1,-3.5291018,2.9214623
SC22CB-1D7.1,-4.8928647,3.9758453
AC006007.1,0.5090428,4.519788
AC021188.4,0.37046278,1.9977558
AC007036.4,-2.2359316,2.6368365
RP11-153F1.2,-5.3749986,4.021667
AC079807.4,3.4156985,3.576546
RP11-508N12.2,-2.5205348,2.679867
AC012456.4,-2.1597264,4.8233113
AF015720.3,-1.7129079,2.299204
AC097532.2,-5.1406775,5.1395445
AL132709.1,-2.6818411,4.1284623
RP11-49O14.3,-1.2852393,2.6319668
RP11-417B4.2,-0.8166938,2.4399571
AC007349.7,-4.6276913,5.448362
AC068580.7,-4.8012567,2.930322
RP11-380D15.3,-5.575843,4.9995613
RP11-383M4.2,-4.885208,2.2661695
RP11-379C10.1,-2.0850236,2.3951774
RP5-936J12.1,-5.9228983,3.61957
RP11-486B10.3,-2.0938997,2.7796164
RP11-67K19.3,3.115313,3.396282
RP11-767N6.7,3.008754,2.0860128
RP11-9L18.3,0.98107356,3.6838636
XXYAC-YX60D10.1,0.5335054,4.8592396
RP3-508I15.10,-0.8597698,3.6450367
RP11-527D15.1,-5.093647,4.0977316
RP4-753M9.1,-2.7224088,4.0482383
RP11-34A14.3,-0.6738461,3.0928185
AC002386.1,-6.0166836,4.4716268
AC026202.5,-5.0277514,4.168497
AP000356.2,-1.8730233,2.7096467
AC099344.2,-3.5947824,5.828247
RP11-109P14.10,-2.1520817,4.5937753
RP5-1086L22.1,-4.924768,4.9218936
RP11-107I14.5,-4.757373,3.9478095
AC084149.1,-5.633613,4.381932
AP001255.2,-5.4446716,3.2213104
AC084193.1,-5.4920235,4.841165
RP4-734C18.1,-5.1086082,2.9024854
AC092625.1,2.6465118,4.701497
RP6-109B7.2,0.5845856,2.6557276
RP5-860P4.2,-6.097402,3.9187756
AC092431.3,-0.93767697,3.442117
RP11-445P17.3,-5.7054005,4.9006143
RP11-91N2.3,-5.4360523,4.3569455
AC009236.2,-5.7858534,5.3593445
AC103563.9,-1.2684004,1.5395818
RP11-316M1.3,0.1721907,3.4551392
RP11-560A15.4,-5.453225,4.2662377
RP11-342H21.2,-4.689457,4.5389886
RP4-760C5.3,-1.4990705,4.039849
AC011747.6,-2.1722033,3.3133955
AC012513.6,1.1714547,4.222108
AC008154.4,-3.9088426,5.1698866
RP11-298J23.5,-1.0693783,2.0740097
RP11-354M20.3,0.6093651,2.6579413
AC004070.1,-5.0415926,2.3350625
AC078842.4,-3.190107,2.6467123
RP4-569M23.2,1.2985868,2.7821295
AF129075.5,2.2939057,2.6157792
RP5-1073O3.2,-0.6600784,2.0343966
RP11-40C11.2,-2.8048677,2.8013456
RP11-391M7.3,-4.88993,2.9467387
RP11-347J14.7,0.65930766,4.503839
RP3-463P15.1,-4.861053,4.703508
RP11-10J18.3,-4.2899017,4.2620616
AC093702.1,-4.652257,4.985564
AC116609.3,-5.084887,5.0993657
RP11-125D12.1,-4.8908725,3.0158527
AC007003.1,-4.76878,2.9385068
RP11-34D15.2,-4.100457,4.599631
AC013448.1,-0.14711405,2.8543596
RP11-462B18.2,-5.7375655,3.8477
AF127577.11,-0.5366009,2.5640054
AC011752.1,-2.2722874,2.5775952
RP11-111F5.3,-0.8975234,3.815158
GS1-600G8.3,-4.7965794,5.4675035
RP11-85O21.4,-5.444684,4.910611
AP001604.3,-5.1458383,3.5162504
RP11-134J21.1,-4.869682,2.5002205
RP11-436K8.1,2.1318746,3.7317674
AC005009.1,-6.468827,4.642024
AC010745.3,-4.559821,4.7161765
RP4-799P18.4,-3.785263,2.690573
RP11-445O3.1,-4.975634,3.2131107
RP4-797C5.2,-5.156775,4.0017543
RP11-459F1.2,-5.9949903,3.2968357
RP11-723O4.2,3.4473963,1.8712611
AP000696.2,-4.3262224,4.308346
RP1-225E12.2,3.720726,3.0734537
AC017006.3,-1.7314922,3.0436094
AP000302.58,-5.5055456,4.3373976
RP11-442J17.3,-5.8335843,3.706378
RP11-331F9.3,0.4097652,3.055945
RP11-310H4.3,-3.4161663,4.04323
AC023481.1,-3.340493,2.6603062
AC099344.3,-4.721146,3.5268495
CTA-992D9.7,-4.697738,4.7104073
CTC-490G23.2,0.3219687,1.5450221
RP11-193P11.3,-6.0709057,3.3147829
AC006380.3,-4.7422094,3.4076612
AC006050.2,-5.8289413,5.492143
RP1-45C12.1,2.3442485,3.1931183
RP11-467I20.6,1.1393902,3.7656014
RP1-14D6.7,-3.7704687,4.9853764
RP11-321L2.1,-3.1054192,4.0723553
RP5-1170K4.7,-3.989688,5.792921
ENSG00000231474,-4.4357095,2.872543
AC074389.5,-6.081655,5.750806
CTB-187M2.1,-5.1801186,3.507893
AC141930.2,-3.4868598,4.9290204
AP006285.7,-3.89629,5.7243147
AP003774.5,-5.2294683,4.9767847
RP1-213J1P__B.2,-4.8153014,5.4350634
RP1-251M9.2,-3.260671,2.7037482
AC108868.5,-3.8292983,3.7815492
RP11-574F11.3,-0.39968857,1.3522826
AC006003.3,-3.597831,3.0756745
AC007285.7,-0.43331873,3.6414173
RP11-244N9.4,-1.3265241,2.640777
RP11-187A9.3,-0.7245451,3.6758265
RP1-232L24.3,3.2176304,3.0801086
AC123886.2,-1.005498,3.7072039
AC010132.10,-5.982974,5.2751145
AC018717.1,-6.079364,5.685876
RP11-245P10.4,1.6859562,2.3783722
AC034228.2,-4.4573555,3.1648028
AC009110.1,-5.177876,4.553602
ENSG00000231591,0.9600637,1.0998126
AC007557.4,-3.836321,2.547025
RP11-164C1.2,-4.9612193,4.9124937
RP5-897D18.1,-5.7646103,4.2440405
RP11-344F13.1,-2.9142473,2.7450783
RP11-522M21.3,-4.8569946,4.710031
RP5-943J3.1,-0.91911095,1.6637781
RP11-575L7.4,3.3789225,3.651579
AP000855.4,-5.367588,5.0142627
AC013402.4,-5.0213227,3.4863567
RP3-355L5.4,3.0217235,2.4448247
RP11-740P5.3,-5.3934174,5.3165255
AC010731.3,-4.953582,2.7211728
RP11-686D16.1,-5.645849,4.2529087
RP11-339N8.1,-4.636194,4.5565224
AC020743.3,-5.9579906,3.8952076
RP1-27K12.2,3.4643672,3.2323666
RP11-203F10.5,-2.8175335,3.6344414
AP002856.5,-4.6150956,6.64056
RP4-669H2.1,2.1147447,3.9493766
AC004895.4,-0.66235864,4.024255
RP11-432J24.2,-3.410056,4.2409177
AF064860.7,-3.5941174,4.767623
RP11-476H20.1,-1.5087146,2.5359268
RP11-568A7.3,-4.050031,5.4413347
RP11-573D15.3,-4.626982,3.9885046
AC010976.2,4.2845993,2.7251363
RP11-63G10.2,-4.7204704,4.3335304
RP11-227H15.5,-5.501413,4.4367275
AL512380.1,-2.857499,3.8397212
RP11-183I6.2,-5.0377007,4.6877313
RP11-350J20.5,3.6725247,3.2543662
RP1-8B1.4,1.822595,2.9357054
RP1-154K9.2,-3.6309006,5.7163706
AC079896.1,-5.8498774,3.9606252
RP11-382D12.1,-4.9795327,4.7945466
AC009542.2,-0.78753304,2.4592345
RP3-527G5.1,-3.4264605,3.848403
AC007179.1,-5.5318,2.9519894
RP11-310E22.7,3.928549,3.5421677
XX-FW83128A1.2,-3.064829,3.6141071
RP11-327P2.5,4.1135497,1.7308161
RP3-428L16.1,4.211983,3.3497376
RP11-229P13.23,2.4097917,1.6907816
AP001625.5,-4.6928945,4.626841
RP1-202O8.2,-2.290884,4.7171383
ENSG00000231869,-4.297042,4.9781623
RP11-761N21.1,-6.1264834,5.730979
AC009158.1,-2.6505446,3.1579566
RP11-177F15.1,-5.0632043,3.5666862
RP11-76I23.7,-0.7698358,4.0873814
RP5-1120P11.3,5.2916207,3.1349137
RP1-297M16.2,-5.638052,3.2317998
AC073316.2,-4.7232676,4.864033
AC019185.4,-3.3979468,4.0186715
RP11-281A20.1,-3.851127,5.339379
RP11-29B9.2,-5.1462045,2.6582506
AC079354.5,-1.5779133,5.0811152
RP1-249H1.2,-5.1849527,5.003773
AC007682.1,-0.33674216,3.113398
AC102953.6,-1.7966774,4.418849
RP11-329E24.6,-3.3592854,2.9316967
RP4-591L5.2,-4.1191535,4.307052
AC004837.4,-3.7698863,4.6814513
RP4-706G24.1,-5.352833,2.9664392
AC007383.4,-3.3108637,1.5536344
ENSG00000231960,-7.1481867,4.1020107
RP11-493K23.4,-2.6909473,3.6632068
RP11-67C2.2,-0.4297703,1.3051646
RP11-452K12.7,-3.521422,1.8130342
RP5-963E22.4,-2.8120956,4.1789727
RP11-35L17.3,-5.242708,5.1728225
AC011899.10,-3.493528,2.6743429
RP11-82L20.1,-4.3031015,3.946912
AP000474.1,-4.592558,4.1550636
RP11-53B5.1,-5.7921534,3.2551444
RP11-57H12.2,-1.1321926,2.460744
RP11-448J14.1,-5.3286123,4.482763
AC005537.2,2.4351587,3.1191754
AC074183.4,-0.7095877,4.6190724
ENSG00000232026,-4.96153,4.59548
RP5-991C6.4,-2.4325776,2.5584497
AC092168.2,-1.9570582,2.6728694
RP11-87N24.3,3.033094,4.4459014
RP4-530I15.9,3.3898668,2.4844198
AC009784.3,-0.08129531,2.2950768
AC092687.4,-4.187978,2.867606
AC093390.1,-3.4110684,2.7456071
AC005772.2,-4.7510934,4.078684
RP11-307E17.8,5.308288,2.4112425
AC004901.1,-4.2129135,4.61287
RP1-302D9.3,-4.4159226,4.9479623
XXBAC-BPG254F23.7,-5.7996364,5.2834587
RP11-261C10.4,-2.308817,2.5185654
RP11-141J10.1,-5.593892,4.421566
RP11-149I23.3,4.5522847,2.9151309
RP11-349P19.1,-5.527258,3.4456444
RP13-30A9.1,-4.713221,4.786037
AP001057.1,2.1859818,2.5273147
RP11-143P4.2,-4.936175,4.9552054
AC073257.1,0.6693443,3.7450917
AC073218.3,-5.3669133,4.1749444
RP6-27P15.2,-4.1737814,4.295481
RP11-370K11.1,-1.6798679,2.4069781
RP11-312J18.6,-5.470992,4.5642185
AL157359.4,-4.5723553,3.4573014
RP1-313L4.3,-3.3874059,4.060384
RP11-302L19.1,-3.9133468,3.5625472
RP4-564O4.1,-6.0133104,4.5094156
RP11-395D3.1,-5.3644514,3.9075937
AC008440.5,-2.78172,4.941024
AC013401.2,-4.846533,4.909423
RP11-203H2.1,2.6491766,4.7288585
RP4-705F19.1,-4.562317,4.8641872
RP11-30L8.1,-4.364902,5.153896
RP11-4C20.3,-1.8098068,3.857679
ENSG00000232266,-5.625694,4.557694
RP4-764O22.1,-5.6312437,5.100697
ENSG00000232272,-7.148006,4.1050315
RP11-80K6.2,-4.7648177,4.3200464
RP1-292B18.3,-4.287625,3.5614593
RP4-715N11.2,-5.231262,3.0770967
RP11-154D6.1,2.8774822,2.6765418
RP1-105O18.1,-5.4393506,4.5329294
AC012485.2,-4.086995,5.0630393
GS1-122H1.1,-4.735671,2.754334
AC093627.7,-4.632075,5.416449
AC011286.1,0.8183839,4.548096
RP11-435D7.3,-5.8252892,4.578813
RP11-46O21.2,2.5065215,3.4895012
ENSG00000232343,-5.5626497,4.446153
RP11-488L18.8,-0.980852,4.652406
RP11-655G22.1,-5.747335,4.017106
RP5-955M13.4,-5.6957126,4.402669
AC104777.1,-0.9426799,2.6114852
AP000281.2,-4.963514,4.6357145
RP1-102D24.5,-3.8106022,4.883466
AC016910.1,-1.9403449,2.3948536
RP11-66B24.2,2.815432,3.812355
AC090696.2,-4.7537894,4.9819293
RP3-399L15.1,-4.8344703,3.3865595
AC140481.4,-5.053221,4.684874
AC009495.3,-4.402227,5.2843256
RP11-343J18.2,-5.1421356,4.1614413
RP11-103C3.1,1.1822237,2.953584
AC010745.4,-4.9916434,4.4226885
RP11-416N4.1,-3.8209257,3.7212284
AC016768.1,-3.84201,5.8127394
CTA-125H2.1,2.5146549,4.696144
RP5-1022J11.2,-5.4927697,3.5515811
RP11-313D6.3,0.5960148,2.2043207
RP11-403N16.2,0.91532993,4.776605
AP005273.1,-5.2502084,4.576279
AP000233.2,-4.8052464,4.086731
AC074366.3,1.3107553,3.8358452
RP11-29H23.4,-1.0145833,4.0362825
RP11-332K15.1,-4.634074,5.6488247
RP1-257I9.2,-3.086491,3.917741
RP11-74C1.4,-2.8071394,1.9807011
RP11-385M4.1,-6.0742745,5.3356843
KB-318B8.7,2.3324504,2.6958058
AC104088.1,-1.4224823,3.0130022
RP11-4M23.3,-4.562706,4.170502
ENSG00000232577,-3.6190732,6.00115
AC079742.4,-2.2430866,4.968064
RP11-128I7.1,-4.8446445,4.7347713
AC013727.1,-4.9415317,3.511597
RP1-90K10.4,-5.5361238,4.607488
AC010967.3,-4.769944,2.7840939
RP11-1114A5.4,4.411804,3.1654472
RP11-365O16.3,0.7155475,3.7489083
