Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_WikiPathway_2021_Human.gmt	Biogenic Amine Synthesis WP550	1/29	4.569800e-01	7.983498e-01	2.475893e+00	1.938910e+00	GAD2
merged_WikiPathway_2021_Human.gmt	Biomarkers for pyrimidine metabolism disorders WP4584	2/29	1.214270e-01	7.333598e-01	4.296998e+00	9.059973e+00	RRM2;DPYD
merged_WikiPathway_2021_Human.gmt	Blood Clotting Cascade WP272	2/45	2.405005e-01	7.597631e-01	2.712186e+00	3.864955e+00	CRYZL2P-SEC16B;KLK1
merged_WikiPathway_2021_Human.gmt	Brain-derived neurotrophic factor (BDNF) signaling pathway WP2380	10/287	7.694692e-02	7.333598e-01	1.812073e+00	4.647315e+00	MAPK4;IKBKB;NFATC4;MIR9-3HG;MIF-AS1;KRTAP5-AS1;MEF2C;STAT1;PTK2B;CNR1
merged_WikiPathway_2021_Human.gmt	Breast cancer pathway WP4262	10/307	1.076864e-01	7.333598e-01	1.686818e+00	3.759128e+00	FGFR1;MIF-AS1;LRP5;TCF7;SOS1;NOTCH2;PIK3R3;WNT5A;FZD2;E2F3
merged_WikiPathway_2021_Human.gmt	CAMKK2  Pathway WP4874	2/67	4.079752e-01	7.827428e-01	1.797290e+00	1.611358e+00	MAPK4;NFATC2
merged_WikiPathway_2021_Human.gmt	COVID-19 adverse outcome pathway WP4891	1/29	4.569800e-01	7.983498e-01	2.475893e+00	1.938910e+00	MIR155HG
merged_WikiPathway_2021_Human.gmt	Calcium Regulation in the Cardiac Cell WP536	4/299	8.738812e-01	9.248946e-01	7.073118e-01	9.535328e-02	ADCY9;GNB4;PRKCA;MAPK4
merged_WikiPathway_2021_Human.gmt	Cancer immunotherapy by CTLA4 blockade WP4582	2/27	1.077911e-01	7.333598e-01	4.634936e+00	1.032460e+01	PTPN6;PIK3R3
merged_WikiPathway_2021_Human.gmt	Cancer immunotherapy by PD-1 blockade WP4585	3/45	6.663050e-02	7.333598e-01	3.905080e+00	1.057727e+01	NFATC4;NFATC2;ZAP70
