pmcid	pmcidTitle	table	column	description	geneSetSize	nOverlap	oddsRatio	pvalue	adjPvalue	geneSetHash
PMC11415325	HPV-ferroptosis related genes as biomarkers to predict the prognosis of cervical cancer	12672_2024_Article_1291.nxml	Table_1-Characteristics		10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	f0a0c6f3-7a92-553d-94de-c785ab77dc77
PMC6021769	Bioinformatics analysis of aberrantly methylated-differentially expressed genes and pathways in hepatocellular carcinoma	WJG-24-2605.nxml	Rank_methods_in_cytoHubba	MDEGs were analyzed by STRING. Ultimately, 26**4**  Hub genes for hypomethylated, highly expressed genes ranked in cytoHubbaRadialityCDKN3PRKDCCDC45PTTG1MCM10BRCA1PI3AURKBMCM2DTL	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	0185921f-cf20-5e46-96b6-eff07835248d
PMC6021769	Bioinformatics analysis of aberrantly methylated-differentially expressed genes and pathways in hepatocellular carcinoma	WJG-24-2605.nxml	Unnamed_2	MDEGs were analyzed by STRING. Ultimately, 26**4**  Hub genes for hypomethylated, highly expressed genes ranked in cytoHubbaRadialityCDKN3PRKDCCDC45PTTG1MCM10BRCA1PI3AURKBMCM2DTL	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	0185921f-cf20-5e46-96b6-eff07835248d
PMC6021769	Bioinformatics analysis of aberrantly methylated-differentially expressed genes and pathways in hepatocellular carcinoma	WJG-24-2605.nxml	Unnamed_3	MDEGs were analyzed by STRING. Ultimately, 26**4**  Hub genes for hypomethylated, highly expressed genes ranked in cytoHubbaRadialityCDKN3PRKDCCDC45PTTG1MCM10BRCA1PI3AURKBMCM2DTL	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	0185921f-cf20-5e46-96b6-eff07835248d
PMC9772552	Plasma cell subtypes analyzed using artificial intelligence algorithm for predicting biochemical recurrence, immune escape potential, and immunotherapy response of prostate cancer	fimmu-13-946209.nxml	Variables	the AUC values used to distinguish the two plasma cell subtypes were calculated as **Table 2**  The 10 gense selected by multiple machine learning algorithms (TCGA cohort)ANPEPCD38COL1A1COL3A1COL8A1COMPSFRP2SFRP4THBS2VCAN	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	7d6cb979-b08e-5515-91f5-d7eb94421354
PMC9552700	Identification of core genes as potential biomarkers for predicting progression and prognosis in glioblastoma	fgene-13-928407.nxml	Name	the node degree, we calculated the top 10 hub genes among the 716 DGEs (**Table 3**)  Top ten hub genes with a higher degree of connectivityTOP2ACDK1BUB1CDC20BIRC5MELKKIF4APBKNDC80TTK	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	c580a480-a858-585b-926e-2819c687ae6e
PMC10739435	Anti-tumor target screening of sea cucumber saponin Frondoside A: a bioinformatics and molecular docking analysis	fonc-13-1307838.nxml	Targets	were used as molecular docking targets, and the molecular binding free energies listed in **Table 2**  Binding Free energy of Frondoside A and targetsCDK1ASPMBUB1TOP2AMELKKIF23TPX2FLNCCDC20KIF20A	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	2a23fb27-b0da-5122-922e-ee8be75f1a68
PMC10786872	Identification of important genes related to HVSMC proliferation and migration in graft restenosis based on WGCNA	41598_2024_Article_51564.nxml	EPC	6 hub genes identified by the most algorithms were obtained: ITGAM, PTPRC, TLR4, TYROBP, ITGB**2**  Top 10 hub genes identified by 11 algorithmsCD4PTPRCPLEKTLR4TYROBPITGB2TFRCITGAMCSF1RRAC2	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	b289c83b-418d-5359-b022-332b0386ffd0
PMC9845045	Identification and Analysis of Potential Immune-Related Biomarkers in Endometriosis	JIR2023-2975581.nxml	Degree	ranked the top ten nodes for each set of the three different topological measurements (**Table 3**)  Top ten nodes in topological analyses of degree, betweenness, and closenessC3VCAM1ITGB2AGTR1VEGFAC3AR1THBS1CCL2IGF1CXCL2	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	5babdd48-a92a-5cc3-a329-8b868247b179
PMC8328991	CENPL, ISG20L2, LSM4, MRPL3 are four novel hub genes and may serve as diagnostic and prognostic markers in breast cancer	41598_2021_Article_95068.nxml	Rank_methods_in_CytoHubba	The PPI network of the 51**2**  Hub genes for highly expressed genes ranked by different CytoHubba methodsFN1CDH1PPARGMMP9FGF2ERBB2EZH2FOSIGF1SPP1	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	3eccc247-8b7c-5af9-a03d-7e8aceb88f5a
PMC10332263	Expression of lymphoid structure-associated cytokine/chemokine gene transcripts in tumor and protein in serum are prognostic of melanoma patient outcomes	DataSheet_1.docx	2-Positively_correlated_genes	the following primary antibody/conjugated opal pairs: PNAd/Opal690, CD4/Opal570, AID/Opal520, CD21/OpaL480, Ki67/Opal620 and CD20/Opal780 ( **Supplementary Table S1**)  Click here for additional data file	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	7531adc5-1dcb-5150-929e-203925ad58c3
PMC8370893	The Prognosis and Immune Checkpoint Blockade Efficacy Prediction of Tumor-Infiltrating Immune Cells in Lung Cancer	Table_1.docx	0-LUSC_DC1_correlation	genes (ITGB2, LAPTM5, and SLC7A7). For convenience, we called these six genes hub genes (**Supplementary Table 1**)  Click here for additional data file	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	88cb0556-9974-57ce-97da-89fb5299b0c0
PMC10786872	Identification of important genes related to HVSMC proliferation and migration in graft restenosis based on WGCNA	41598_2024_Article_51564.nxml	MNC	6 hub genes identified by the most algorithms were obtained: ITGAM, PTPRC, TLR4, TYROBP, ITGB**2**  Top 10 hub genes identified by 11 algorithmsCD4PTPRCPLEKTLR4TYROBPITGB2TFRCITGAMCSF1RRAC2	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	6dd43ae7-abd1-5784-b24d-672eda819409
PMC10786872	Identification of important genes related to HVSMC proliferation and migration in graft restenosis based on WGCNA	41598_2024_Article_51564.nxml	Degree	6 hub genes identified by the most algorithms were obtained: ITGAM, PTPRC, TLR4, TYROBP, ITGB**2**  Top 10 hub genes identified by 11 algorithmsCD4PTPRCPLEKTLR4TYROBPITGB2TFRCITGAMCSF1RRAC2	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	6dd43ae7-abd1-5784-b24d-672eda819409
PMC10786872	Identification of important genes related to HVSMC proliferation and migration in graft restenosis based on WGCNA	41598_2024_Article_51564.nxml	Closeness	6 hub genes identified by the most algorithms were obtained: ITGAM, PTPRC, TLR4, TYROBP, ITGB**2**  Top 10 hub genes identified by 11 algorithmsCD4PTPRCPLEKTLR4TYROBPITGB2TFRCITGAMCSF1RRAC2	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	6dd43ae7-abd1-5784-b24d-672eda819409
PMC10786872	Identification of important genes related to HVSMC proliferation and migration in graft restenosis based on WGCNA	41598_2024_Article_51564.nxml	Radiality	6 hub genes identified by the most algorithms were obtained: ITGAM, PTPRC, TLR4, TYROBP, ITGB**2**  Top 10 hub genes identified by 11 algorithmsCD4PTPRCPLEKTLR4TYROBPITGB2TFRCITGAMCSF1RRAC2	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	6dd43ae7-abd1-5784-b24d-672eda819409
PMC9748417	Integrating cell interaction with transcription factors to obtain a robust gene panel for prognostic prediction and therapies in cholangiocarcinoma	DataSheet1.pdf	14-Gene_2	Click here for additional data file	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	95380091-0637-57e5-8201-cc89ee5c3433
PMC10236483	Study on drug screening multicellular model for colorectal cancer constructed by three-dimensional bioprinting technology	IJB-9-3-694.nxml	Upregulated_DEGs	printing-S group and 2D culture include ITGAM, IL1B, FCGR2A, and CYBB, as shown in **Table 4**  Hub genes of differentially expressed genes in the 3D-printed multicellular model compared with the 3D-printed SW480 modelHub geneDDX58OASLSTAT1IFIT3IFIT1OAS1RSAD2MX1MX2ISG15	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	68d1e006-ca84-546d-a8b5-4242f31fa703
PMC10768281	Dysregulation of extracellular matrix and Lysyl Oxidase in Ehlers-Danlos syndrome type IV skin fibroblasts	13023_2023_Article_3007.nxml	Proteins_Increased_in_vEDS	Fold changes in vEDS samples versus normal fibroblasts are reported (Table **2**)  Human ECM Degradation qPCR ArraymRNA Target SymbolMMP1COL11A1COL4A1COL6A3BGNCOL6A1DMDBMP4ADAMTS4FN1GAPDHCOL7A1COL18A1PCOLCELAMB1LAMA2BMP1LTBP2LAMB2COL1A1CTSSCOL5A1ADAM15LAMA5CAPN2COL1A2MMP2CASTCEACAM8COL3A1TIMP2NONOSERPINH1ADAMTS5NCSTNSPP1HTRA1LDHACAPN3MMP14ADAM17CD44PPIHA2MCOL5A2CAPN1ADAM10CASP3LAMC2NID1LUMSPARCDCNTIMP1HSPG2LAMC1PSEN1COL14A1ADAM12VCANLAMA1LAMA3PLGCOL4A5COL4A3NTN4PPCFBN1MMP12LAMB3CAPN10ADAMTS1CAPN9ACANMMP3	10	3	78.41538461538461	0.000006334942377669721	0.000494604435478874	cfeeab03-4b11-5723-8a22-cc6ed6d4d555
PMC10806268	CD209 signaling pathway as a biomarker for cisplatin chemotherapy response in small cell lung cancer	mmc5.xlsx	h_all_v2022_1_Hs_symbols-Unnamed_83		2073	22	2.773980481650525	0.000006335289107577489	0.000494604435478874	7533ddb6-eaf8-54df-b489-90cb7fb854e2
PMC9549631	Multiomic analysis of papillary thyroid cancers identifies BAIAP2L1-BRAF fusion and requirement of TRIM25, PDE5A and PKCδ for tumorigenesis	12943_2022_1665_MOESM2_ESM.xlsx	protein-coding-Gene_Name	mentioned above (Suppl. Fig. 2A). In total we identified the corresponding protein-coding RNAs of **1**  Additional file 2: Suppl. Table 1. List of differentially expressed RNAs identified in the RNAseq analysis of patients #14, #15, #17 and #21. Differentially expression of protein-coding RNAs are highlighted in the second sheet	2075	22	2.773980481650525	0.000006335289107577489	0.000494604435478874	fdb6ba4b-a457-5877-93cd-fda5694c6c9c
PMC8674690	Identification of Two Immune Related Genes Correlated With Aberrant Methylations as Prognosis Signatures for Renal Clear Cell Carcinoma	DataSheet3.xlsx	Raw_data_figure_1f-Symbol	Click here for additional data file	652	12	4.818149592343142	0.000006343926611684925	0.0004950909767022577	e0095679-dc31-52f3-b493-ad2eb1c2262e
PMC8925295	Integrative analysis reveals the functional implications and clinical relevance of pyroptosis in low-grade glioma	41598_2022_8619_MOESM2_ESM.xlsx	Table_S9-Table_S9_Differentially_expressed_genes_between_high-_and_low-risk_groups_in_TCGA_dataset	reviews and studies, and these genes and their Entrez IDs are listed in Table **S1**  Supplementary Information 2	651	12	4.818149592343142	0.000006343926611684925	0.0004950909767022577	056420c8-a98c-55f8-a4ad-5923a0c992d8
PMC4808020	Transmembrane protein CD9 is glioblastoma biomarker, relevant for maintenance of glioblastoma stem cells	oncotarget-07-0593-s002.xls	U87-MG_vs_NHA_Down-Reg-GeneSymbol	the U373 and U87-MG cells, with 262 and 246 genes to be up-regulated, respectively (**Supplementary Table S1**)	344	9	6.8584884503251855	0.000006344702056181924	0.0004950909767022577	0195a91f-b112-5c65-be5e-215a4e0aa6c0
PMC6547495	The m6A-suppressed P2RX6 activation promotes renal cancer cells migration and invasion through ATP-induced Ca2+ influx modulating ERK1/2 phosphorylation and MMP9 signaling pathway	13046_2019_1223_MOESM3_ESM.xlsx	Screening_Process-Unnamed_1	candidates selecting process was described as Additional file 8: Figure S1 A. We downloaded 5**3**  Table S3. Candidates selecting process & GO analysis result. (XLSX 49 kb)	343	9	6.8584884503251855	0.000006344702056181924	0.0004950909767022577	cda79163-4aea-5734-9ae8-df0740f5998f
PMC4162553	Discovery and Validation of New Potential Biomarkers for Early Detection of Colon Cancer	pone.0106748.s007.xls	T-F-HGNC_Gene_Symbol	and 443 between T/F, corresponding to a set of 194 and 352 genes, respectively (**Table S2**)  Excel file with the complete list of candidate biomarkers identified in the discovery phase. Sheet “T-F”: expression in tumor > expression in cancer-free mucosa; Sheet “A-F”: expression in adjacent normal mucosa > expression in cancer-free mucosa.(XLS)  Click here for additional data file	343	9	6.8584884503251855	0.000006344702056181924	0.0004950909767022577	d139595c-11ee-5829-a7d6-ffae8061791c
PMC10660840	CD8+ chimeric antigen receptor T cells manufactured in absence of CD4+ cells exhibit hypofunctional phenotype	jitc-2023-007803supp001.xlsx	Day_14-Genename		1913	21	2.873862263391059	0.000006358433915282066	0.0004961127581092072	539d4033-4738-560d-aef3-875024943939
PMC10910246	ProteoMixture: A cell type deconvolution tool for bulk tissue proteomic data	mmc23.xlsx	Table_S22-Gene		1596	19	3.1117216117216118	0.000006382305522246407	0.0004978035300922917	48a40320-c22a-500c-be80-2f2138438806
PMC10559743	Network analysis and experimental approach to investigate the potential therapeutic mechanism of zishen yutai pills on premature ovarian insufficiency	mmc3.xlsx	Sheet1-Unnamed_2	Multimedia component 3	1023	15	3.8326189939093167	0.000006382662404683649	0.0004978035300922917	7526f6e6-9a05-5d5b-97d4-f0b84e4b0869
PMC6972755	Recurrent pregnancy loss is associated with a pro-senescent decidual response during the peri-implantation window	42003_2020_763_MOESM3_ESM.xlsx	Supplementary_Data_1-Supplementary_Data_1_Marker_genes_for_each_cell_state_in_vitro	first reconstructed the decidual pathway in vitro using single-cell transcriptomics. As depicted in Fig. **1**  Supplementary Data	1023	15	3.8326189939093167	0.000006382662404683649	0.0004978035300922917	5284fdfb-e858-53e2-b880-bf282dc11cd4
PMC11018230	Exploring Acori Tatarinowii Rhizoma and Polygalae Radix in Alzheimer’s: Network pharmacology and molecular docking analysis	medi-103-e37740-s004.xlsx	genecards-APP		1026	15	3.8326189939093167	0.000006382662404683649	0.0004978035300922917	a06608ae-e2d0-5098-9400-b16fdace356a
PMC4247380	The pain interactome: Connecting pain-specific protein interactions	mmc16.xls	gene_expression_ints_first_orde-ProteinB	Supplementary table 8	893	14	4.097855112412783	0.000006384523263730017	0.0004978619514554373	957ba4cb-d7f8-5376-9ca0-f77cd5d14ac8
PMC9549631	Multiomic analysis of papillary thyroid cancers identifies BAIAP2L1-BRAF fusion and requirement of TRIM25, PDE5A and PKCδ for tumorigenesis	12943_2022_1665_MOESM2_ESM.xlsx	protein-coding-Gene_ID	mentioned above (Suppl. Fig. 2A). In total we identified the corresponding protein-coding RNAs of **1**  Additional file 2: Suppl. Table 1. List of differentially expressed RNAs identified in the RNAseq analysis of patients #14, #15, #17 and #21. Differentially expression of protein-coding RNAs are highlighted in the second sheet	2074	22	2.7726429790074922	0.000006384909166571727	0.0004978619514554373	5cdd70f6-2508-5f52-87d3-d5f0f7a2201e
PMC4247380	The pain interactome: Connecting pain-specific protein interactions	mmc16.xls	gene_expression_ints_first_orde-ProteinA	Supplementary table 8	769	13	4.418725617685306	0.000006386610205893783	0.0004978619514554373	d04c3daf-ee9b-5f4f-ad7b-bb1c532e27c7
PMC11626613	Transcriptome-targeted analysis of human peripheral blood-derived macrophages when cultured on biomaterial meshes	NIHMS2036563-supplement-Supplemental_Doc_2.xls	Gene_and_Probe_Details-nCounter_Human_Myeloid_Innate_Immunity_V2_Panel_-_Gene_and_Probe_Details		769	13	4.418725617685306	0.000006386610205893783	0.0004978619514554373	f58b71c0-c82e-5d70-aa1e-cf7318450f13
PMC11949049	Multidimensional analyses identify genes of high priority for pancreatic cancer research	jciinsight-10-174264-s248.xlsx	Table_S4a-Unnamed_6		769	13	4.418725617685306	0.000006386610205893783	0.0004978619514554373	95ef7e4b-55b6-53aa-926a-39aba8281fe3
PMC5731705	Transcriptome profiling identifies regulators of pathogenesis in collagen VI related muscular dystrophy	pone.0189664.s004.xlsx	DN_vs_control-GO_0044707	categories centered on three primary themes, extracellular matrix, adhesion, and immune response (Table 3, **S2 File**)  Significant DE genes within enriched Gene Ontology categories.(XLSX)  Click here for additional data file	258	8	8.10494931425164	0.000006403703268207642	0.0004988945779225358	f15e54c1-e61e-5733-9541-205380757f9c
PMC8710474	Polymorphonuclear Cells Show Features of Dysfunctional Activation During Fatal Sepsis	Table_1.xlsx	Sheet1-gene	to either G1/S or G2/M gene set. The curated gene set is available in **Supplementary Table 1**  Click here for additional data file	258	8	8.10494931425164	0.000006403703268207642	0.0004988945779225358	36ead436-26bf-5fc2-af87-c40bee9516fe
PMC12149705	Single‑cell transcriptomic analysis revealed the tumor‑associated microenvironment of papillary thyroid carcinoma with metastasis	Supplementary_Data3.xlsx	P21120201_clustercDC2_2_diffgen-gene_id		258	8	8.10494931425164	0.000006403703268207642	0.0004988945779225358	0d5e209b-8436-5c50-971f-d7bf78432699
PMC10130036	Genes whose expressions in the primary lung squamous cell carcinoma are able to accurately predict the progression of metastasis through lymphatic system, inferred from a bioinformatics analyses	41598_2023_33897_MOESM1_ESM.xlsx	inf-names	normal, which were also significantly expressed differentially in N + compared to N0 (including 28**1**)  Supplementary Information 1	258	8	8.10494931425164	0.000006403703268207642	0.0004988945779225358	1d684b26-3125-5ca7-adb3-04bb38d5534c
PMC10130036	Genes whose expressions in the primary lung squamous cell carcinoma are able to accurately predict the progression of metastasis through lymphatic system, inferred from a bioinformatics analyses	41598_2023_33897_MOESM1_ESM.xlsx	inf-en_id	normal, which were also significantly expressed differentially in N + compared to N0 (including 28**1**)  Supplementary Information 1	258	8	8.10494931425164	0.000006403703268207642	0.0004988945779225358	1d684b26-3125-5ca7-adb3-04bb38d5534c
PMC8530965	Neural Crest-Like Stem Cell Transcriptome Analysis Identifies LPAR1 in Melanoma Progression and Therapy Resistance	can-20-1496_table_s1_suppst1.xlsx	Top_genes_from_RNAseq_snd_Micro-Unnamed_1	Supplementary Table  Click here for additional data file	258	8	8.10494931425164	0.000006403703268207642	0.0004988945779225358	1f762028-040d-5f5e-8f04-9554737ed991
PMC5552680	Transcriptional hallmarks of cancer cell lines reveal an emerging role of branched chain amino acid catabolism	41598_2017_8329_MOESM2_ESM.xlsx	ConsensusDown-ENSEMBL_GENE_ID	characteristic direction (with false discovery rates lower than 0.05) are reported in Supplementary File **SF2**  Supplementary file 2	258	8	8.10494931425164	0.000006403703268207642	0.0004988945779225358	7a65f35d-3e6b-55a9-abc9-3f2b2c78e0fa
PMC8270686	Transcriptomic Signature of Human Embryonic Thyroid Reveals Transition From Differentiation to Functional Maturation	Table_15.XLSX	Table_B_GO_compar_1_AT_ET-newATET_down1570	GO analysis of full lists of differentially expressed genes is presented in **Supplementary Table 15**  Click here for additional data file	1446	18	3.2537503989786147	0.0000064187248266355255	0.0004999647623821604	84b275df-de6f-568c-bedf-18c72ef6d037
PMC8186905	Tendon and motor phenotypes in the Crtap-/- mouse model of recessive osteogenesis imperfecta	elife-63488-fig6-data4.xlsx	Sheet1-Figure_6-source_data_4_Predicted_upstream_regulators_driving_differential_gene_expression_between_1-month_wildtype_and_Crtap_knockout_patellar_tendons	in Crtap-/- compared to wildtype patellar tendons plotted according to -log10 adjusted p-value. See **Figure 6—source data 4**  Predicted upstream regulators driving differential gene expression between 1-month wildtype and Crtap knockout patellar tendons.Based on a list of differentially expressed genes, upstream regulators were predicted using Ingenuity Pathway Analysis. The results are sorted by adjusted p-value	1454	18	3.2537503989786147	0.0000064187248266355255	0.0004999647623821604	82c300f4-4d45-5a30-ba33-74aa9fe0e0e3
PMC8420858	LR Hunting: A Random Forest Based Cell–Cell Interaction Discovery Method for Single-Cell Gene Expression Data	Table_3.XLSX	LigMyeloid_RecepTregs-Ligand_Myeloid_Receptor_T-regs	of TNBC analysis using LR hunting and SingleCellSignalR were listed in Supplementary Tables 2, **3**  Click here for additional data file	183	7	9.99831862126944	0.000006431762677408805	0.0005007297110844032	679e3641-5e2e-58fd-8e9a-03f9ba2798bf
PMC12079337	IL‐33‐Induced TREM2+ Macrophages Promote Pathological New Bone Formation Through CREG1‐IGF2R Axis in Ankylosing Spondylitis	ADVS-12-2500952-s001.docx	0-Secreted_proteins_in_the_AS_group		183	7	9.99831862126944	0.000006431762677408805	0.0005007297110844032	3c727d09-d909-5b1e-8037-199d56905477
PMC6597578	LobSig is a multigene predictor of outcome in invasive lobular carcinoma	41523_2019_113_MOESM2_ESM.xlsx	SupTab11_LobSig_vs_other_sig-Unnamed_4	level gains seen on 1q, 8q, 11q and 16p; and deletions on 1p, 6q, 8p**2**  Supplementary Tables	183	7	9.99831862126944	0.000006431762677408805	0.0005007297110844032	a8243165-5d38-5cad-a077-af94da635ed9
PMC9720179	Genomic profiling and network-level understanding uncover the potential genes and the pathways in hepatocellular carcinoma	DataSheet1.xlsx	GSE14520DEGs-Gene_symbol	Click here for additional data file	184	7	9.99831862126944	0.000006431762677408805	0.0005007297110844032	019392d5-52cb-5b97-aa0d-c6c7b5abb9be
PMC12144123	Rewired m6A of promoter antisense RNAs in Alzheimer’s disease regulates neuronal genes in 3D nucleome	41467_2025_60378_MOESM9_ESM.xlsx	Sheet1-Unnamed_1		183	7	9.99831862126944	0.000006431762677408805	0.0005007297110844032	1e1d2bcc-165d-5749-97cb-80edad1f014f
PMC11087505	Multiplexed bulk and single-cell RNA-seq hybrid enables cost-efficient disease modeling with chimeric organoids	41467_2024_48282_MOESM3_ESM.xlsx	sup_fig2-Column1		1752	20	2.9838426413768877	0.000006432646559530893	0.0005007484287611617	8b0fd85d-a922-52c3-b7e0-c61e8bd1d925
PMC11087505	Multiplexed bulk and single-cell RNA-seq hybrid enables cost-efficient disease modeling with chimeric organoids	41467_2024_48282_MOESM3_ESM.xlsx	sup_fig2-gene		1752	20	2.9838426413768877	0.000006432646559530893	0.0005007484287611617	8b0fd85d-a922-52c3-b7e0-c61e8bd1d925
PMC11871282	IL-1β and associated molecules as prognostic biomarkers linked with immune cell infiltration in colorectal cancer: an integrated statistical and machine learning approach	12672_2025_1989_MOESM2_ESM.xlsx	Upregulated_Microaaray-GSE9348		2076	22	2.771306765523633	0.000006434883874006661	0.0005008724898989892	38c5b395-24f2-5461-bc0d-37d50008ae21
PMC9708595	Ultra-rare and common genetic variant analysis converge to implicate negative selection and neuronal processes in the aetiology of schizophrenia	41380_2022_1621_MOESM2_ESM.xlsx	S1-gene_sets-Neural_Progenitors	All **1**  Supplementary tables	1597	19	3.1097731323153988	0.0000064402997495643465	0.000501243911351857	1fd8eb70-4dfd-505c-bb56-f0c5437b2b7d
PMC2978930	Breast Cancer Biomarker Discovery in the Functional Genomic Age: A Systematic Review of 42 Gene Expression Signatures	additional_file1.xls	42_signatures-Taschendorff_et_al_2006	derived from 42 breast cancer gene expression profiling studies (from 2002 to 2009) (see **additional file 1**)  42 gene expression signatures selected for analysis and their corresponding list of genes	652	12	4.810759792354885	0.0000064432665184187685	0.0005014229825123004	2c16eeba-01d3-5369-917b-54dcaa312f56
PMC8261504	Co‐Targeting Plk1 and DNMT3a in Advanced Prostate Cancer	ADVS-8-2101458-s013.xlsx	S_Table_8_3_GSE21032-Unnamed_10	Supporting Table 8.3  Click here for additional data file	2415	24	2.598687145497419	0.000006443889218410743	0.0005014229825123004	2ea574db-f2b7-5605-ae51-dbe99cc971de
PMC10274808	RETROFIT: Reference-free deconvolution of cell-type mixtures in spatial transcriptomics	media-2.xlsx	Table_S17-Gene	(SSVI) algorithm 17 that scales well with thousands of genes and spots (Algorithm 1; **Supplementary Table 1**)	1024	15	3.828876201923077	0.0000064581735866789	0.0005024842589239473	8861fd31-0f67-5d1a-ba42-8462ed56b394
PMC11794950	Phospho-seq: integrated, multi-modal profiling of intracellular protein dynamics in single cells	41467_2025_56590_MOESM5_ESM.xlsx	Sheet1-All_tests_in_this_supplementary_data_are_performed_as_Wilcoxon_Rank_Sum_tests_two-sided		894	14	4.093271381861986	0.000006466592209285036	0.000503088978921199	6393f4d4-297e-5f0e-b667-1f4d2004edac
PMC7181753	Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming	42003_2020_922_MOESM5_ESM.xlsx	Hoja1-Unnamed_7	the differential expression of a subset of genes (Supplementary Fig. 4a and Supplementary Data **3**)  Supplementary Data 3	770	13	4.412987012987013	0.000006476660156120054	0.0005038218795876617	7d751f9e-c4e1-5caa-a1d5-37ec36c3d2b3
PMC10582276	Modeling of intramembranous ossification using human pluripotent stem cell-derived paraxial mesoderm derivatives	mmc3.xlsx	Marged-Upregulated_in_8-wk_tissues	Multimedia component 3	2077	22	2.769971839336001	0.000006485215509244809	0.0005044369802625635	49e52c63-77ce-52b1-87ca-46190da4d850
PMC11218377	Unexpected regulatory functions of cyprinid Viperin on inflammation and metabolism	12864_2024_10566_MOESM6_ESM.xlsx	Table_S4_-_DEGs_KOvsWT_IFN-Unnamed_3		1753	20	2.982140506384659	0.000006488019362146926	0.0005046046360097111	81e87e99-984a-5fd0-bce5-d45954c819ce
PMC5390115	A Genome-wide Analysis of Human Pluripotent Stem Cell-Derived Endothelial Cells in 2D or 3D Culture	mmc4.xlsx	DE_Lists-Unnamed_42	(on the same day) than for comparisons between PEG hydrogels with different crosslinking densities (**Table S3**)  Table S3. Differential Gene Expression Analysis for H1-EC-PC Cocultures, Related to Figure 2	344	9	6.838550983899821	0.000006495251364091948	0.0005050661511097936	a4ba7fb5-78f2-51d1-8db2-1b21408cb2a3
PMC5571984	Tensor decomposition-based unsupervised feature extraction applied to matrix products for multi-view data processing	pone.0183933.s003.xlsx	Sheet2-C	study ([30], Table 1). The mRNAs associated with selected 427 mRNA probes are in **S1 Table**  List of genes.Full lists of genes selected by various methods.(XLSX)  Click here for additional data file	344	9	6.838550983899821	0.000006495251364091948	0.0005050661511097936	e201b1c1-9e2f-5f8c-bb5f-a6a9c628dbd1
PMC5940770	Invasive lobular and ductal breast carcinoma differ in immune response, protein translation efficiency and metabolism	41598_2018_25357_MOESM4_ESM.xlsx	Pathway_database-Unnamed_8	we queried the induced DE genes in the MSigDB database32. Nine of the top 1**5**  Supplementary table 5	1598	19	3.1078270915567536	0.000006498771293989898	0.0005052893698223947	57f7b938-0f72-56cc-b856-8d9f4342e96c
PMC3183091	Cell Type–Specific Transcriptome Analysis Reveals a Major Role for Zeb1 and miR-200b in Mouse Inner Ear Morphogenesis	pgen.1002309.s008.xlsx	cls_kmeans_geneids-symbol	title indicates the cluster number and the number of probes assigned to the cluster. **Table S2**  Cluster analysis of all differentially expressed genes.(XLSX)  Click here for additional data file	2244	23	2.6790758261346497	0.000006507639659616861	0.0005059283514194541	93773751-3038-51f5-be90-4e2e875da5b6
PMC8635240	VDR Signaling via the Enzyme NAT2 Inhibits Colorectal Cancer Progression	DataSheet2.xlsx	GeneCards-Gene_Symbol	Click here for additional data file	542	11	5.304853817768947	0.000006515886807201591	0.0005065189143608417	adc3923e-1a75-51ee-a593-fced3b230cca
PMC5010902	The Transcriptomic Evolution of Mammalian Pregnancy: Gene Expression Innovations in Endometrial Stromal Fibroblasts	supp_evw168_SupplementalTable2.xlsx	BoreoSp-Associated_Gene_Name	Supplementary Data	439	10	5.95409146661994	0.0000065301078666228436	0.0005074723280830733	77dfd70b-6ed9-5600-9c2e-cfcaf3d59ae7
PMC11409092	Identification of endoplasmic reticulum stress-associated genes and subtypes for predicting risk signature and depicting immune features in inflammatory bowel disease	mmc1.docx	0-id		440	10	5.95409146661994	0.0000065301078666228436	0.0005074723280830733	5773a9de-1692-5988-89c8-83aa3b967aba
PMC10328084	 Ovol1/2 loss‐induced epidermal defects elicit skin immune activation and alter global metabolism	EMBR-24-e56214-s008.xlsx	52DPI_Cellular_structure_shape-Unnamed_1	epidermally associated gene signatures, whereas fibroblast signature was not significantly affected (Fig 2A; Dataset **EV2**)  Dataset EV2  Click here for additional data file	439	10	5.95409146661994	0.0000065301078666228436	0.0005074723280830733	f2d4a554-9d32-5bb1-91b5-bbd5784fda18
