pmcid	pmcidTitle	table	column	description	geneSetSize	nOverlap	oddsRatio	pvalue	adjPvalue	geneSetHash
PMC11723995	Integrated proteomics and scRNA-seq analyses of ovarian cancer reveal molecular subtype-associated cell landscapes and immunotherapy targets	41416_2024_2894_MOESM11_ESM.xlsx	S4C_2023_OC_Cell_gene_features-gene		739	28	9.90361194962007	5.666163674652994e-21	2.593819743570635e-16	5595afba-c1e2-5d24-a8e7-c74510a34e30
PMC11757262	Development and validation of a glycolysis-associated gene signature for predicting the prognosis, immune landscape, and drug sensitivity in bladder cancer	Table4.xlsx	F-D_diff-id		1703	38	5.8324224219702785	6.1579684867709424e-21	2.65352437658233e-16	02a93085-6106-53c8-a9e7-eb3788f79c3a
PMC7930198	Inter- and intra-tumor heterogeneity of metastatic prostate cancer determined by digital spatial gene expression profiling	41467_2021_21615_MOESM4_ESM.xlsx	Transcript-Supplementary_Data_File_1_Genes_analyzed_by_DSP_Transcript_Profiling	factor (FGF), and mitogen activated protein kinase (MAPK) activity, loss of the retinoblastoma gene (RB**1**)  Supplementary Data 1	2072	41	5.172185922185923	6.478539112592827e-21	2.65352437658233e-16	17e7a847-4750-519f-b5a7-8b6c93b753c7
PMC7930198	Inter- and intra-tumor heterogeneity of metastatic prostate cancer determined by digital spatial gene expression profiling	41467_2021_21615_MOESM4_ESM.xlsx	Transcript-Unnamed_1	factor (FGF), and mitogen activated protein kinase (MAPK) activity, loss of the retinoblastoma gene (RB**1**)  Supplementary Data 1	2072	41	5.172185922185923	6.478539112592827e-21	2.65352437658233e-16	17e7a847-4750-519f-b5a7-8b6c93b753c7
PMC9065345	Single-Cell Transcriptome Analysis Reveals Inter-Tumor Heterogeneity in Bilateral Papillary Thyroid Carcinoma	Table_1.xlsx	thyroid_combined_markers-gene	Click here for additional data file	1829	39	5.57353745215965	7.197138061562942e-21	2.8004603982896027e-16	36812fae-2f60-529c-9004-c0b0fe50f45a
PMC11187134	Disulfidptosis-related genes serve as potential prognostic biomarkers and indicate tumor microenvironment characteristics and immunotherapy response in prostate cancer	41598_2024_61679_MOESM2_ESM.xlsx	Sheet4-symbol		831	29	9.121725446635194	9.001309946049929e-21	3.335692580792974e-16	c94c12e9-7495-5c53-9783-76f716d2b1fe
PMC9213768	DNA damage to β cells in culture recapitulates features of senescent β cells that accumulate in type 1 diabetes	mmc2.xlsx	Up-_and_Down-regulated_genes-Donor_1	Multimedia component 2	1195	33	7.224197912640124	1.0744872353312755e-20	3.800827653833312e-16	62bf8d8a-de9a-5a9a-b779-867d176bf28d
PMC8881251	Organoids from human tooth showing epithelial stemness phenotype and differentiation potential	18_2022_4183_MOESM6_ESM.xlsx	P4_vs_P4switch-DEGs_P4_organoids_versus_P4-switch_organoids	Supplementary file6 (XLSX 151 KB)	1747	38	5.685526837215446	1.4976357723769285e-20	5.067315750436137e-16	8bd980c8-e62d-5591-a1b2-177253d30f97
PMC10354071	Cancer-associated fibroblast classification in single-cell and spatial proteomics data	41467_2023_39762_MOESM9_ESM.csv	gene	our previously defined CAF types as well as pericytes (Fig. 3b, c, Supplementary Fig. **6**)  Supplementary Dataset 6	935	30	8.386672151378034	1.70771006463641e-20	5.537356616462599e-16	ae278ffa-a0b3-56d0-8531-ec48a977d149
PMC9117636	Crosstalk of Histone and RNA Modifications Identified a Stromal-Activated Subtype with Poor Survival and Resistance to Immunotherapy in Gastric Cancer	DataSheet2.xlsx	S7-DEG-Table_S7_Differentially_expressed_genes_DEG_between_C3_and_C4_cluster_in_the_exploring_set	Click here for additional data file	1640	37	5.897091932457786	1.804442296286003e-20	5.616976246416848e-16	d8c64010-edcb-5e2c-8290-851eec55662c
