Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_KEGG_2021_Human.gmt	Signaling pathways regulating pluripotency of stem cells	10/285	2.601416e-02	2.455676e-01	2.224270e+00	8.116616e+00	FGFR1;MIF-AS1;TCF7;PIK3R3;SMAD3;WNT5A;ZFHX3;OTX1;FZD2;HOXA1
merged_KEGG_2021_Human.gmt	Small cell lung cancer	6/183	9.700676e-02	3.685829e-01	2.112288e+00	4.927914e+00	IKBKB;MIF-AS1;MAX;PIK3R3;RXRA;E2F3
merged_KEGG_2021_Human.gmt	Sphingolipid metabolism	3/96	2.298444e-01	5.434457e-01	2.142748e+00	3.150595e+00	MAPK4;CERS6;CERS4
merged_KEGG_2021_Human.gmt	Sphingolipid signaling pathway	7/237	1.159593e-01	4.031052e-01	1.877612e+00	4.045345e+00	MAPK4;PLD1;S1PR2;PIK3R3;CERS4;CERS6;PRKCA
merged_KEGG_2021_Human.gmt	Spinocerebellar ataxia	5/284	5.445642e-01	7.618851e-01	1.119388e+00	6.803301e-01	MAPK4;ZNF667-AS1;MIF-AS1;PIK3R3;PRKCA
merged_KEGG_2021_Human.gmt	Spliceosome	2/299	9.670826e-01	9.912213e-01	4.702372e-01	1.573946e-02	MIR155HG;SNRNP70
merged_KEGG_2021_Human.gmt	Staphylococcus aureus infection	1/188	9.629744e-01	9.912213e-01	4.497800e-01	1.696952e-02	HSD17B3-AS1
merged_KEGG_2021_Human.gmt	Starch and sucrose metabolism	1/71	7.102105e-01	8.467894e-01	1.208396e+00	4.135058e-01	CRYZL2P-SEC16B
merged_KEGG_2021_Human.gmt	Steroid biosynthesis	1/39	4.930949e-01	7.435010e-01	2.218874e+00	1.568863e+00	CRYZL2P-SEC16B
merged_KEGG_2021_Human.gmt	Steroid hormone biosynthesis	2/121	6.207452e-01	8.035466e-01	1.188973e+00	5.669435e-01	UGT2B15;UGT2B17
merged_KEGG_2021_Human.gmt	Synaptic vesicle cycle	1/155	9.337101e-01	9.825034e-01	5.474161e-01	3.754688e-02	MAPK4
merged_KEGG_2021_Human.gmt	Systemic lupus erythematosus	1/239	9.849973e-01	9.957038e-01	3.520321e-01	5.321444e-03	HSD17B3-AS1
merged_KEGG_2021_Human.gmt	T cell receptor signaling pathway	7/206	6.597012e-02	3.286726e-01	2.175243e+00	5.913514e+00	IKBKB;SOS1;PTPN6;PIK3R3;VAV1;NFATC2;ZAP70
merged_KEGG_2021_Human.gmt	TGF-beta signaling pathway	4/187	4.037057e-01	7.047774e-01	1.399767e+00	1.269686e+00	MAPK4;SMAD3;MIF-AS1;ZFYVE9
merged_KEGG_2021_Human.gmt	TNF signaling pathway	6/222	1.853694e-01	4.911353e-01	1.725914e+00	2.908864e+00	IKBKB;CREB3;IL15;PIK3R3;DAB2IP;NOD2
merged_KEGG_2021_Human.gmt	Taurine and hypotaurine metabolism	1/21	3.061974e-01	5.996189e-01	4.173594e+00	4.939554e+00	GAD2
merged_KEGG_2021_Human.gmt	Th1 and Th2 cell differentiation	5/183	2.090027e-01	5.026876e-01	1.768289e+00	2.768094e+00	IKBKB;STAT1;NOTCH2;NFATC2;ZAP70
merged_KEGG_2021_Human.gmt	Th17 cell differentiation	7/213	7.585377e-02	3.442807e-01	2.100225e+00	5.416371e+00	IKBKB;LINC01058;STAT1;SMAD3;RXRA;NFATC2;ZAP70
merged_KEGG_2021_Human.gmt	Thermogenesis	13/463	5.759429e-02	3.213762e-01	1.748888e+00	4.991907e+00	CREB3;PRDM16;FGFR1;MIF-AS1;MIR4458HG;ADCY9;PPM1L-DT;SOS1;NPPA;FGF14-AS2;DPF3;ZFP28-DT;CNR1
merged_KEGG_2021_Human.gmt	Thyroid cancer	2/73	3.595550e-01	6.514017e-01	1.995412e+00	2.041083e+00	TCF7;RXRA
merged_KEGG_2021_Human.gmt	Thyroid hormone signaling pathway	12/241	9.644817e-04	4.484840e-02	3.224485e+00	2.239057e+01	PFKP;MAPK4;THRB;STAT1;PLCD3;NOTCH2;PIK3R3;PRDM16-DT;RXRA;GAS6-AS1;RCAN1;PRKCA
merged_KEGG_2021_Human.gmt	Thyroid hormone synthesis	4/149	2.558676e-01	5.576391e-01	1.771175e+00	2.414280e+00	ADCY9;CREB3;PRKCA;MAPK4
merged_KEGG_2021_Human.gmt	Tight junction	4/336	8.357143e-01	9.179696e-01	7.624956e-01	1.368439e-01	MAPK4;FLNB-AS1;MIF-AS1;PRDM16-DT
merged_KEGG_2021_Human.gmt	Toll-like receptor signaling pathway	5/207	2.862089e-01	5.833448e-01	1.555463e+00	1.945936e+00	IRF5;IKBKB;STAT1;PIK3R3;TLR2
merged_KEGG_2021_Human.gmt	Toxoplasmosis	3/223	7.435989e-01	8.707585e-01	8.986479e-01	2.662276e-01	IKBKB;TLR2;STAT1
merged_KEGG_2021_Human.gmt	Transcriptional misregulation in cancer	7/371	4.587147e-01	7.189967e-01	1.173461e+00	9.145100e-01	PAX5;PDGFA;MIF-AS1;MEF2C;MAX;KLF3;RXRA
merged_KEGG_2021_Human.gmt	Tryptophan metabolism	2/83	4.206562e-01	7.047774e-01	1.749069e+00	1.514588e+00	ALDH1B1;HADH
merged_KEGG_2021_Human.gmt	Tuberculosis	6/359	5.887924e-01	7.937472e-01	1.044404e+00	5.532015e-01	KCNJ2-AS1;STAT1;CR1;NOD2;VDR;TLR2
merged_KEGG_2021_Human.gmt	Type I diabetes mellitus	1/85	7.732070e-01	8.877561e-01	1.006973e+00	2.590021e-01	GAD2
merged_KEGG_2021_Human.gmt	Type II diabetes mellitus	3/91	2.072683e-01	5.026876e-01	2.264783e+00	3.564183e+00	INSR;IKBKB;PIK3R3
merged_KEGG_2021_Human.gmt	Ubiquitin mediated proteolysis	2/279	9.556964e-01	9.912213e-01	5.050136e-01	2.288467e-02	FBXW7;MIF-AS1
merged_KEGG_2021_Human.gmt	VEGF signaling pathway	4/117	1.435616e-01	4.443987e-01	2.276833e+00	4.419313e+00	NFATC2;PIK3R3;MIF-AS1;PRKCA
merged_KEGG_2021_Human.gmt	Valine, leucine and isoleucine degradation	7/95	1.254654e-03	4.990995e-02	4.950903e+00	3.307646e+01	CRYZL2P-SEC16B;ALDH1B1;HADH;ACADSB;LINC02532;ACAD8;BCAT1
merged_KEGG_2021_Human.gmt	Vascular smooth muscle contraction	8/265	8.825263e-02	3.613056e-01	1.909967e+00	4.636543e+00	MAPK4;ADCY9;PLA2G2D;ARHGEF1;MYLK;NPPA;HSD17B3-AS1;PRKCA
merged_KEGG_2021_Human.gmt	Vasopressin-regulated water reabsorption	3/87	1.895996e-01	4.911353e-01	2.372810e+00	3.945606e+00	ADCY9;CREB3;MAPK4
merged_KEGG_2021_Human.gmt	Vibrio cholerae infection	4/99	9.172550e-02	3.613056e-01	2.710184e+00	6.474508e+00	SEC61A1;ADCY9;PRKCA;MAPK4
merged_KEGG_2021_Human.gmt	Viral carcinogenesis	6/391	6.711909e-01	8.322768e-01	9.550042e-01	3.807618e-01	CREB3;MIF-AS1;LTBR;PIK3R3;EGR3;HDAC6
merged_KEGG_2021_Human.gmt	Viral protein interaction with cytokine and cytokine receptor	3/199	6.709220e-01	8.322768e-01	1.010517e+00	4.032999e-01	LTBR;TNFRSF10D;CCR6
merged_KEGG_2021_Human.gmt	Vitamin digestion and absorption	1/47	5.591633e-01	7.723097e-01	1.835870e+00	1.067217e+00	SLC23A1
merged_KEGG_2021_Human.gmt	Wnt signaling pathway	12/331	1.225633e-02	1.709759e-01	2.297983e+00	1.011506e+01	MAPK4;NFATC4;MIF-AS1;LRP5;TCF7;SMAD3;WNT5A;VANGL1;FZD2;NFATC2;PRKCA;PPARD
merged_KEGG_2021_Human.gmt	Yersinia infection	8/273	1.003494e-01	3.685829e-01	1.851119e+00	4.255904e+00	IKBKB;ARHGEF1;PIK3R3;VAV1;PTK2B;GAS6-AS1;NFATC2;ZAP70
merged_KEGG_2021_Human.gmt	alpha-Linolenic acid metabolism	1/49	5.742947e-01	7.854325e-01	1.759862e+00	9.760415e-01	PLA2G2D
merged_KEGG_2021_Human.gmt	beta-Alanine metabolism	5/59	3.416049e-03	7.240577e-02	5.853966e+00	3.324626e+01	DPYD;CRYZL2P-SEC16B;ALDH1B1;LINC02532;GAD2
merged_KEGG_2021_Human.gmt	cAMP signaling pathway	8/431	4.670104e-01	7.238661e-01	1.144444e+00	8.713843e-01	MAPK4;CREB3;PLD1;ADCY9;LHB;VAV1;NPPA;PIK3R3
merged_KEGG_2021_Human.gmt	cGMP-PKG signaling pathway	11/333	2.957609e-02	2.661848e-01	2.083159e+00	7.334363e+00	MAPK4;CREB3;NFATC4;MEF2C;INSR;ADCY9;MYLK;NPPA;PRDM16-DT;GTF2IRD1;NFATC2
merged_KEGG_2021_Human.gmt	mRNA surveillance pathway	1/195	9.672844e-01	9.912213e-01	4.333285e-01	1.441369e-02	MSI2
merged_KEGG_2021_Human.gmt	mTOR signaling pathway	10/307	4.017439e-02	2.736114e-01	2.055815e+00	6.608469e+00	MAPK4;IKBKB;MIF-AS1;LRP5;INSR;SOS1;PIK3R3;WNT5A;FZD2;PRKCA
merged_KEGG_2021_Human.gmt	p53 signaling pathway	4/145	2.408419e-01	5.512848e-01	1.821875e+00	2.593648e+00	CHEK2;RRM2;MIF-AS1;ZMAT3
