id,x,y,text,name
1332,34.16,4.352322908926732,"Sample 1332 
              Patient: GTEX-111CU-1526-SM-5N9FS 
              Expression: 4.352322908926732
            ",NORMAL
1333,29.71,4.013812351108297,"Sample 1333 
              Patient: GTEX-14C5O-2826-SM-5RQI6 
              Expression: 4.013812351108297
            ",NORMAL
1334,51.65,3.7234123416779594,"Sample 1334 
              Patient: GTEX-132QS-1126-SM-5P9GC 
              Expression: 3.7234123416779594
            ",NORMAL
1335,85.49,4.250483658340199,"Sample 1335 
              Patient: GTEX-ZUA1-2826-SM-59HLE 
              Expression: 4.250483658340199
            ",NORMAL
1336,57.01,4.121561242603977,"Sample 1336 
              Patient: GTEX-13FTW-1226-SM-5LZZ1 
              Expression: 4.121561242603977
            ",NORMAL
1337,32.84,5.470988813047529,"Sample 1337 
              Patient: GTEX-13N2G-1826-SM-5KM1I 
              Expression: 5.470988813047529
            ",NORMAL
1338,63.67,4.053287381775208,"Sample 1338 
              Patient: GTEX-WZTO-0926-SM-4PQZ3 
              Expression: 4.053287381775208
            ",NORMAL
1339,14.86,4.5026200009137725,"Sample 1339 
              Patient: GTEX-1477Z-2226-SM-5QGPG 
              Expression: 4.5026200009137725
            ",NORMAL
1340,59.9,3.1225863791978377,"Sample 1340 
              Patient: GTEX-11TUW-2126-SM-5GU7B 
              Expression: 3.1225863791978377
            ",NORMAL
1341,40.95,4.310180381910675,"Sample 1341 
              Patient: GTEX-139T6-1526-SM-5P9G6 
              Expression: 4.310180381910675
            ",NORMAL
1342,26.8,4.6005796147502505,"Sample 1342 
              Patient: GTEX-13111-1326-SM-5GCNO 
              Expression: 4.6005796147502505
            ",NORMAL
1343,48.49,3.595417654721355,"Sample 1343 
              Patient: GTEX-ZY6K-1526-SM-5GZXE 
              Expression: 3.595417654721355
            ",NORMAL
1344,11.9,4.240665950584675,"Sample 1344 
              Patient: GTEX-YFCO-1626-SM-4W1Z3 
              Expression: 4.240665950584675
            ",NORMAL
1345,52.17,3.6715316770839705,"Sample 1345 
              Patient: GTEX-145LT-0626-SM-5O99E 
              Expression: 3.6715316770839705
            ",NORMAL
1346,44.79,4.28114008335528,"Sample 1346 
              Patient: GTEX-14E6E-1126-SM-5S2R4 
              Expression: 4.28114008335528
            ",NORMAL
