Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_Reactome_2022.gmt	Activation Of SMO R-HSA-5635838	1/35	4.278815e-01	7.420747e-01	2.705563e+00	2.296777e+00	SHH
merged_Reactome_2022.gmt	Acyl Chain Remodelling Of PC R-HSA-1482788	1/53	5.708698e-01	8.015995e-01	1.776230e+00	9.957441e-01	PLA2G2D
merged_Reactome_2022.gmt	Acyl Chain Remodelling Of PE R-HSA-1482839	2/57	2.276642e-01	6.638849e-01	2.809262e+00	4.157380e+00	HSD17B3-AS1;PLA2G2D
merged_Reactome_2022.gmt	Acyl Chain Remodelling Of PG R-HSA-1482925	1/35	4.278815e-01	7.420747e-01	2.705563e+00	2.296777e+00	PLA2G2D
merged_Reactome_2022.gmt	Acyl Chain Remodelling Of PI R-HSA-1482922	1/33	4.093149e-01	7.396512e-01	2.872367e+00	2.565801e+00	PLA2G2D
merged_Reactome_2022.gmt	Acyl Chain Remodelling Of PS R-HSA-1482801	1/43	4.965099e-01	7.662456e-01	2.195341e+00	1.537072e+00	PLA2G2D
merged_Reactome_2022.gmt	Adaptive Immune System R-HSA-1280218	35/1463	9.295629e-03	3.333077e-01	1.613746e+00	7.549442e+00	HAR1A;CYBB;MIR155HG;LAG3;LINC02757;LINC01679;CD19;LINC00426;PVR;SEC61A1;FBXW7;CBLL2;ZAP70;SOS1;CCR5AS;IKBKB;KCNJ2-AS1;SERPINB9P1;PTPN6;LINC00996;VAV1;PIK3R3;LINC00158;FOXD2-AS1;SNHG28;TLR2;FBXO27;LINC02631;LINC01504;ITGB5;LINC03014;GAS6-AS1;FBXO44;NFATC2;PRKCA
merged_Reactome_2022.gmt	Adenylate Cyclase Activating Pathway R-HSA-170660	2/17	2.898852e-02	4.219005e-01	1.008051e+01	3.569363e+01	MAPK4;ADCY9
merged_Reactome_2022.gmt	Adenylate Cyclase Inhibitory Pathway R-HSA-170670	2/25	5.890046e-02	5.031884e-01	6.646006e+00	1.882087e+01	ADCY9;MAPK4
merged_Reactome_2022.gmt	Adherens Junctions Interactions R-HSA-418990	2/57	2.276642e-01	6.638849e-01	2.809262e+00	4.157380e+00	MAPK4;PVR
merged_Reactome_2022.gmt	Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042	2/55	2.160063e-01	6.609055e-01	2.914593e+00	4.466462e+00	MAPK4;GNB4
merged_Reactome_2022.gmt	Advanced Glycosylation Endproduct Receptor Signaling R-HSA-879415	1/25	3.288469e-01	7.126118e-01	3.811912e+00	4.239468e+00	LGALS3
merged_Reactome_2022.gmt	Amine Ligand-Binding Receptors R-HSA-375280	1/79	7.168794e-01	8.793612e-01	1.186271e+00	3.948476e-01	DRD4
merged_Reactome_2022.gmt	Amino Acid Transport Across Plasma Membrane R-HSA-352230	2/65	2.745845e-01	6.966367e-01	2.454287e+00	3.172157e+00	CRYZL2P-SEC16B;LINC02532
merged_Reactome_2022.gmt	Amino Acids Regulate mTORC1 R-HSA-9639288	1/109	8.249121e-01	9.501929e-01	8.568898e-01	1.649328e-01	CCR5AS
merged_Reactome_2022.gmt	Amyloid Fiber Formation R-HSA-977225	1/152	9.121959e-01	9.915764e-01	6.122634e-01	5.626732e-02	NPPA
