term	CountInEnrichedGSEs	Pvalue	AdjPvalue
Atrophic scars (HP:0001075)	11	0.17423358645807602	0.7970375932264507
Morphine addiction	13	0.17826443022489555	0.7970375932264507
Cortical Surface Area	18	0.1788855755878534	0.7970375932264507
Vertex-wise Cortical Thickness	19	0.1797666310809658	0.7970375932264507
Type I Collagen Synthesis In The Context Of Osteogenesis Imperfecta WP4786	13	0.18391684029669403	0.8057309193950406
Recurrent fractures (HP:0002757)	6	0.18618069736864878	0.8060529015489736
Embryonic Organ Morphogenesis (GO:0048562)	5	0.19688669339852802	0.8424918973332362
Mean Platelet Volume	14	0.21099534894738076	0.8667137279222703
Vertex-wise Sulcal Depth	97	0.21160488803645686	0.8667137279222703
Regulation Of DNA-templated Transcription (GO:0006355)	19	0.21178224474073054	0.8667137279222703
abnormal heart development MP:0000267	5	0.214347206499328	0.8667137279222703
Protein processing in endoplasmic reticulum	54	0.21467006342125894	0.8667137279222703
Lung Function (FEV1/FVC)	14	0.21667843198056758	0.8667137279222703
Regulation Of Epithelial To Mesenchymal Transition (GO:0010717)	7	0.2203824724041952	0.872051073599396
MYC 19030024 ChIP-ChIP MESCs Mouse	9	0.2321495916041247	0.8958197119294734
Milia (HP:0001056)	5	0.23287691742412794	0.8958197119294734
Cellulitis (HP:0100658)	7	0.2382450909386841	0.8958197119294734
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	8	0.23983433188754494	0.8958197119294734
Abnormality of polysaccharide metabolism (HP:0011012)	8	0.23983433188754494	0.8958197119294734
Alzheimer disease	7	0.2431356931993071	0.8958197119294734
astrocytosis MP:0003354	6	0.24957804394369965	0.8958197119294734
