Feature,Importance
ABCC8,4.651542412725652e-10
PCYT2,4.6420269632013447e-10
PSMA7,4.6019184123442445e-10
SMARCA5,4.572599217056551e-10
AOX1,4.56647335837196e-10
MTA3,4.5588205505979734e-10
B3GNT6,4.5170014149858715e-10
SLC4A4,4.4608200532520576e-10
KRTAP5-AS1,4.4450345813202876e-10
LINC01132,4.4234723525843026e-10
HEYL,4.4234093941948247e-10
HNRNPF,4.4077494416805444e-10
EHHADH,4.392334141274257e-10
PAOX,4.3527842854531077e-10
LIPH,4.314487777637797e-10
XYLT1,4.289302931424834e-10
TDO2,4.2872089317243284e-10
ANO4,4.2842290220973024e-10
CYP4F26P,4.263918724536684e-10
PORCN,4.2445994216211316e-10
VENTX,4.1788702517523136e-10
ZNF208,4.1650541500980187e-10
SLC14A1,4.1336369536152924e-10
EXO1,4.1282105890391977e-10
PTK2B,4.126003960292416e-10
NUDT1,4.051379083071361e-10
SMC3,4.0248068655247635e-10
TOP2A,3.9925637696208896e-10
LINC00511,3.9730812208921286e-10
IGF1R,3.972479177054935e-10
GGT5,3.9371789484477686e-10
EIF2B4,3.911510528530046e-10
RLN2,3.879845627750045e-10
PPP1R35-AS1,3.789295923327413e-10
ANGPTL4,3.6892395842507775e-10
ADAMTSL1,3.6785565224441384e-10
SOX21-AS1,3.677043988686429e-10
DCHS1-AS1,3.669556114871556e-10
ESR1,3.6357515041974743e-10
ARSD,3.635678018581362e-10
PIP5K1A,3.632923338912389e-10
MIXL1,3.604013420679809e-10
ACADL,3.6031379774630996e-10
MGST3,3.60090370017555e-10
HECW2-AS1,3.5666250642594913e-10
ARSA,3.5614113626704963e-10
FUCA1,3.531117559689704e-10
PLD3,3.525825909062447e-10
CSF1R,3.5195138674415316e-10
CASP10,3.48693343625226e-10
SQSTM1,3.484402035785106e-10
PHKG1,3.4688270468219855e-10
HNRNPH1,3.4501445858749206e-10
HAGLR,3.4464459655135336e-10
GCHFR,3.4281318619260243e-10
ACOX1,3.4269261324957607e-10
COLEC12,3.419704483768685e-10
ACY1,3.394782476217433e-10
DCK,3.377251152495617e-10
PML,3.377203176894458e-10
PCF11,3.354522029279371e-10
MPI,3.338355307312902e-10
NRP1,3.3203924494998894e-10
LIFR,3.320188256667038e-10
EGF,3.3189203926068584e-10
E2F1,3.313440794602121e-10
ZNF254,3.3082818979818663e-10
PARP14,3.270095228093135e-10
MMAB,3.2687010608865104e-10
EGR3,3.264741180667117e-10
KIF23-AS1,3.252057805912964e-10
