Feature,Importance
ABCC8,4.651417988873924e-10
PCYT2,4.641664401102266e-10
PSMA7,4.602041433161701e-10
SMARCA5,4.5720120321718013e-10
AOX1,4.5665439806929565e-10
MTA3,4.558967882354801e-10
B3GNT6,4.516828609367852e-10
SLC4A4,4.4609763277438614e-10
KRTAP5-AS1,4.445075572967444e-10
LINC01132,4.423426662421089e-10
HEYL,4.422095490362092e-10
HNRNPF,4.4077263957477477e-10
EHHADH,4.3917426150030747e-10
PAOX,4.351964106780918e-10
LIPH,4.313378375628005e-10
XYLT1,4.2886961140015343e-10
TDO2,4.287786563095926e-10
ANO4,4.283366173394663e-10
CYP4F26P,4.263669642295109e-10
PORCN,4.244301408410108e-10
VENTX,4.178386897667968e-10
ZNF208,4.1653429278066243e-10
SLC14A1,4.1341238793572856e-10
EXO1,4.130294889565632e-10
PTK2B,4.126271629636071e-10
NUDT1,4.0514282360182e-10
SMC3,4.0241383747845147e-10
TOP2A,3.9910005938036723e-10
LINC00511,3.9728568387254165e-10
IGF1R,3.972167782702835e-10
GGT5,3.9366294864628023e-10
EIF2B4,3.9111185826547393e-10
RLN2,3.879393261894132e-10
PPP1R35-AS1,3.789326959118371e-10
ANGPTL4,3.689297316483248e-10
SOX21-AS1,3.6773895488006916e-10
ADAMTSL1,3.677244253443857e-10
DCHS1-AS1,3.6693027567665946e-10
ARSD,3.635535649935888e-10
ESR1,3.634980059679185e-10
PIP5K1A,3.6326083462466e-10
MIXL1,3.604659601911052e-10
ACADL,3.6027080628715187e-10
MGST3,3.600808869123825e-10
HECW2-AS1,3.565778639867251e-10
ARSA,3.5599146164973963e-10
FUCA1,3.5303990906366005e-10
PLD3,3.52567967249766e-10
CSF1R,3.519945367815684e-10
CASP10,3.4869441409417093e-10
SQSTM1,3.4847742233571486e-10
PHKG1,3.4682031055670696e-10
HNRNPH1,3.449866674232139e-10
HAGLR,3.446069254110664e-10
GCHFR,3.4280864754708385e-10
ACOX1,3.426669811156747e-10
COLEC12,3.4187553339584856e-10
ACY1,3.3945185311520465e-10
PML,3.3774948629918184e-10
DCK,3.377287429259643e-10
PCF11,3.3542626888206104e-10
MPI,3.3381132922351097e-10
LIFR,3.320253463164778e-10
NRP1,3.3199400032815965e-10
EGF,3.3180186239429087e-10
E2F1,3.3146995845581605e-10
ZNF254,3.30769482562416e-10
PARP14,3.269815149124735e-10
MMAB,3.268199280556261e-10
EGR3,3.2646359145007656e-10
KIF23-AS1,3.251216660271119e-10
KLRK1-AS1,3.2356769892923304e-10
VDAC1,3.2234356437597934e-10
FEN1,3.212645805133144e-10
CDK6,3.1946718212812425e-10
PARP10,3.187345792775112e-10
UNC5A,3.173982017052902e-10
TFAP2E,3.1640129741011985e-10
TPMT,3.134085365140703e-10
SGO1-AS1,3.1330145274547433e-10
CBLL1-AS1,3.1028518209877156e-10
JARID2-DT,3.089143770596123e-10
AURKB,3.082342279925144e-10
HPSE2,3.032054393466241e-10
LINC01187,3.0231841154907374e-10
WNT3A,3.002267656399852e-10
RAMP1,2.9848318434861927e-10
CYB5A,2.982220871900706e-10
PPP1R15B-AS1,2.9647874584838827e-10
ZNF516-AS1,2.9632273362536365e-10
HDAC7,2.9626135743621007e-10
TWIST2,2.961276152895387e-10
SLC16A2,2.959982668289128e-10
SPRY2,2.9372494165186213e-10
RABGGTA,2.9253077203718087e-10
MINPP1,2.894776658059275e-10
QKI,2.876098301586779e-10
B3GNT9,2.872065713822391e-10
ALOX15,2.859532466577261e-10
NEIL2,2.814614722470869e-10
PGR,2.810319693610207e-10
CTSS,2.7833598635493114e-10
MTF2,2.7783049835031226e-10
MSMO1,2.772247968385397e-10
ST6GAL1,2.760997695701484e-10
SORD,2.7561759290581605e-10
PYGB,2.753776218530237e-10
PTEN,2.7281111559359185e-10
DNMT1,2.7206098508383567e-10
NKX2-1-AS1,2.7054903986939576e-10
LAMP1,2.6939521975246933e-10
TMEM220-AS1,2.6925466686678113e-10
ST8SIA6,2.6920809861041904e-10
MAP2K4,2.6864843782959685e-10
HFE,2.682374514826674e-10
LAMC1,2.670234207987837e-10
TAF4,2.6110072358165727e-10
SOAT1,2.6078273639012524e-10
PCOTH,2.598791070742597e-10
CA2,2.5976038379875715e-10
NUDT7,2.5801325193665447e-10
ARRB1,2.574764069968347e-10
CDK6-AS1,2.570425295247514e-10
PRIM1,2.5377508823283354e-10
H2AZ1,2.535854113532957e-10
HK1,2.5244705153114376e-10
SLC29A4,2.52310152119299e-10
RHPN1-AS1,2.509783696959571e-10
VHL,2.5066096516329693e-10
LRP4-AS1,2.476080197471522e-10
FAAH2,2.458738979791508e-10
TMC3-AS1,2.4513052013843364e-10
HMGCLL1,2.445973273014617e-10
ZNF18,2.44372911983078e-10
PRKAR1B-AS1,2.4392622288845154e-10
INPP5E,2.4269282757785093e-10
ZNF853,2.4267451568105285e-10
SRSF8,2.411950364987467e-10
GNG4,2.406800826828013e-10
DBT,2.392968178485368e-10
ANO7,2.3883754490198333e-10
ING3,2.38569068629362e-10
GOT2,2.353730584838022e-10
THY1-AS1,2.3363489487759065e-10
ACTA2-AS1,2.331488572431057e-10
NUAK1,2.302493246547429e-10
LINC02875,2.301480335198983e-10
PPP1R14B-AS1,2.2950836089036925e-10
PINK1,2.2914897527531674e-10
CYB5R2,2.285989693479005e-10
OAS3,2.2664413658300335e-10
PLCG1,2.2650327647822565e-10
MTHFD1,2.2598626495466908e-10
CKB,2.2565834988418093e-10
NR4A2,2.2460053507865328e-10
HELLPAR,2.2438061803760108e-10
EGILA,2.221932617948489e-10
CMBL,2.2171238306672007e-10
ZNF660,2.2133677226649733e-10
EZH2,2.2130311785870623e-10
LINC01612,2.210947505282536e-10
TIMP1,2.194477128905314e-10
E2F3,2.1888482849054152e-10
TRPC7,2.188454110427902e-10
ENTPD1,2.1763728131485887e-10
SLC5A1,2.175117337182432e-10
SUCLA2-AS1,2.1583845153365357e-10
LINC01637,2.1566429352126988e-10
NOSTRIN,2.142413869504055e-10
RDH11,2.1393040792604078e-10
NLRP12,2.129806706814146e-10
ELOVL7,2.1204583422246096e-10
GNB2,2.1050020271702003e-10
ZNF676,2.1013161286423727e-10
PCA3,2.1007555784109046e-10
LINC00235,2.0931920697215986e-10
PGS1,2.0714327557715217e-10
LINC01581,2.068906388603438e-10
TSC22D3,2.061726648566905e-10
LINC00958,2.061226645501377e-10
PLA2G2A,2.0576538932366238e-10
PC,2.055512502648476e-10
UPF3B,2.0285154975647922e-10
B4GALNT4,2.0225735982540798e-10
DHRS7B,2.0195012977194793e-10
ZNF566,2.0187445198254763e-10
ECHS1,2.0162626575056292e-10
ACOXL,2.0153109106205438e-10
HAND2,2.0131087713468792e-10
MUC2,2.0114632553138045e-10
TRPM4,2.0089679175574086e-10
PLA2G4E,1.9967946727852527e-10
LINC00922,1.9965209989259936e-10
LINC02986,1.9929763051276245e-10
ITPK1,1.9854598326440041e-10
ACOX3,1.9722346880437995e-10
CERT1,1.9716532854008876e-10
KCNC2,1.963231757713462e-10
ZNF727,1.950353251800603e-10
ACAT2,1.9497144039020374e-10
CASP8,1.9411941062728216e-10
DNMT3A,1.940935292459791e-10
SLC12A4,1.9367776068669163e-10
NSMCE2,1.934610805284875e-10
MTA1,1.925874456884482e-10
GNG7,1.9213111758475748e-10
NOD1,1.9018065523874917e-10
ST3GAL4,1.8951940016016843e-10
RORB-AS1,1.8936015460676906e-10
NOTCH3,1.8763667693514224e-10
ADA,1.874484001977807e-10
LAMB1,1.8678506469129032e-10
C4A-AS1,1.867740596066539e-10
CBX8,1.8558973815130205e-10
DPH6-DT,1.8531802240524653e-10
EOMES,1.850436612288884e-10
SLCO2B1,1.8439152425279544e-10
LMNTD2-AS1,1.8346786379049334e-10
CORO1A-AS1,1.8328406412465982e-10
CYFIP2,1.83216633709233e-10
RPS4Y2,1.8275841863571413e-10
PLCB4,1.818284832989918e-10
MVD,1.8069999427080615e-10
TNFRSF18,1.805323688355155e-10
KLK2,1.7949492413874956e-10
DRAIC,1.7923112188920957e-10
PDIA3,1.791138613387159e-10
NPY,1.787255272585774e-10
ITGA2,1.785543959925907e-10
GCG,1.784761835266038e-10
LINC00470,1.773544510548421e-10
TARBP1,1.7716575670190046e-10
LINC01127,1.767758457295114e-10
HMMR,1.7520978182193906e-10
MAPK11,1.749271030662313e-10
CMAS,1.7487470014521364e-10
HOTTIP,1.748113758770314e-10
SCNN1G,1.742521079362296e-10
CASP2,1.7330309998731324e-10
STS,1.7246328648441683e-10
ISCA1,1.7153715144602364e-10
BRF2,1.7109683023082222e-10
ZNF655,1.708061288080645e-10
ZDHHC2,1.7031563527281014e-10
NR2C1,1.699909211631359e-10
MROCKI,1.6940010937817372e-10
EFNB1,1.6893165585444633e-10
PCCA,1.677860813819719e-10
PHYH,1.6699320380536916e-10
SDC4,1.665445989806723e-10
GSTZ1,1.6606389225560552e-10
NEO1,1.6495271963551925e-10
ZNF704,1.6480084322324366e-10
ALDH2,1.629749098349719e-10
ZDHHC12-DT,1.6273018497290672e-10
FOXD1-AS1,1.6241368406471416e-10
HHAT,1.613778070231932e-10
PPM1K,1.612264385716308e-10
ZNF302,1.608997010205585e-10
EPHA5-AS1,1.6072533267103682e-10
ASAH1,1.601946270509335e-10
TKT,1.6005634887670846e-10
GNPDA1,1.5848942574233676e-10
ZNF169,1.5816818030725734e-10
SLC6A8,1.5748064101534178e-10
EPS15-AS1,1.571334592632429e-10
SLC22A15,1.5630853359507345e-10
CHST10,1.545466617203803e-10
MNX1-AS2,1.5452182608383207e-10
ST3GAL3,1.5415572694628375e-10
SLC1A5,1.5310960170522226e-10
EPIC1,1.5278941374933277e-10
HMG20B,1.527589117031301e-10
ACSBG1,1.526155282725206e-10
SLC9A8,1.5226825105635198e-10
LINC01124,1.5206291546099528e-10
NR2E1,1.50911280790922e-10
FAH,1.5064863910739062e-10
PHC2,1.4948597500549742e-10
CTNS,1.4912332427946238e-10
SMPD1,1.4854776766123534e-10
MAP3K5,1.4825714881361495e-10
FUT1,1.4824118678785779e-10
ADRB1,1.4808169635528262e-10
SQLE,1.4789495393928817e-10
YWHAG,1.4754890552938784e-10
ACP2,1.4748072612026905e-10
FRS3,1.4730741982151954e-10
ESRP2,1.4711954178790516e-10
GSTO2,1.4694196369881742e-10
ZNF606,1.4686441009756254e-10
ZNF540,1.465754486718566e-10
TWF2-DT,1.4650416868942822e-10
CNOT6,1.4644280422854954e-10
NNMT,1.4628109488320877e-10
DLGAP1-AS5,1.4564401973397768e-10
SMUG1,1.4514348973633785e-10
LINC00482,1.4491132492002216e-10
P3H2-AS1,1.4410376025125725e-10
OGG1,1.42901365587037e-10
TYK2,1.428130304978743e-10
TMEM246-AS1,1.417615423668358e-10
SNHG4,1.4072497586472607e-10
PLA2G4F,1.4021759687818337e-10
ABCA4,1.4009458160480593e-10
SLC15A1,1.39652460918006e-10
FKBP1A,1.3860990199297996e-10
UGT2B15,1.3780151615469156e-10
YBX1,1.3752480258159433e-10
SLC22A17,1.372096253459912e-10
CA4,1.3711372739360567e-10
ZFP69,1.3685225445318493e-10
SULT1E1,1.3659018985871048e-10
ATP1B1,1.3554590441646902e-10
LINC01703,1.3536940879890286e-10
SLC25A17,1.3458212173639934e-10
SLC29A1,1.3456854128597225e-10
ZNF736,1.3421385195861287e-10
THTPA,1.338742411585934e-10
FECH,1.337520759632381e-10
BRINP3-DT,1.3364899420738235e-10
ZNF267,1.3337597566955408e-10
CD36,1.3293036834757005e-10
APOE,1.3292733603087905e-10
TFDP1,1.3243630755287375e-10
SLC22A5,1.3238391350397012e-10
LAMP2,1.321361778568941e-10
TP73,1.313528466986955e-10
DGKB,1.3070682760085207e-10
LINC02041,1.3057951860801805e-10
SLC25A19,1.3015523731079957e-10
ZNF783,1.3012213291715778e-10
GPD1L,1.2964202922133945e-10
HMGCS2,1.2950079883201913e-10
CNN3-DT,1.2927692963523627e-10
ADAMTS13,1.2882631556481462e-10
JAM3,1.2773410463612694e-10
LINC02878,1.2762527536445707e-10
OXCT1,1.271878205670319e-10
LINC02701,1.2706391631700457e-10
SLC7A5,1.2688626463232126e-10
GEMIN4,1.2680372012101548e-10
MNX1-AS1,1.2614182281062342e-10
RYR2,1.259371866784419e-10
PCAT14,1.2537452496892386e-10
HS2ST1,1.2537166902174115e-10
SLC22A18AS,1.2521535823209424e-10
KSR2,1.2463986861256483e-10
SMAD6,1.2443439293308548e-10
LINC00865,1.242116074496259e-10
PARG,1.2414786441612322e-10
ACAD10,1.238449742304597e-10
HAGLROS,1.2379506593302338e-10
TCF7,1.2278421456673714e-10
ZNF3,1.2232431534421437e-10
HPGD,1.2208421295620852e-10
SOCS2-AS1,1.2181758400173258e-10
RETREG1-AS1,1.217641421808077e-10
CNOT8,1.2173377649784027e-10
AGK,1.2128212659756946e-10
CERS6,1.2103526481682848e-10
APEX1,1.20872300328347e-10
PTPN12,1.1939103354950196e-10
ZNF652-AS1,1.1916456407088106e-10
DUSP16,1.1912322847646578e-10
WNT5A-AS1,1.190609235879315e-10
JDP2-AS1,1.1881207818347652e-10
DNMT3B,1.1807806087367422e-10
NT5C,1.1767367853852403e-10
RCC2-AS1,1.17306195197598e-10
SLC34A3,1.1707146974407704e-10
LYN,1.164349503487344e-10
SLC18A2,1.158723208955999e-10
CS,1.1549821786631684e-10
CBLL1,1.1529007513546274e-10
LPGAT1,1.1527698922154287e-10
ALAD,1.1466137307159903e-10
BCAT2,1.1421932176593516e-10
ADCY9,1.1410735562954677e-10
SMAD2,1.1403050044781981e-10
IMPA1,1.1393649713547948e-10
LDHA,1.1321465014208771e-10
SLC22A3,1.1302133889927551e-10
IL17RC,1.1270844142803783e-10
ZNF705A,1.1187282785166434e-10
RNF34,1.1132884861596141e-10
FOXO4,1.1047555726663069e-10
RNF43,1.104008886320784e-10
PRKCD,1.094529618440927e-10
PDK3,1.0924112014753144e-10
ZNF182,1.0859631972729033e-10
NUDT3,1.0845683337086855e-10
KPNB1,1.0783237980441615e-10
HDAC2,1.0749409284919909e-10
HLX-AS1,1.0731063808450391e-10
BDH2,1.0729426302481065e-10
TBXAS1,1.0674626380393688e-10
ABAT,1.0670401916493294e-10
NECTIN1-DT,1.0615562749168897e-10
SLC15A2,1.0602727506679099e-10
ZNF503-AS2,1.0518897270510136e-10
CSRP1-AS1,1.051211639663615e-10
SI,1.0509935263983552e-10
NEU1,1.0497155717260518e-10
LINC01852,1.0466968222194616e-10
KDM5B,1.045846646711526e-10
DCXR,1.0440718694663942e-10
WNK4,1.0438325877813764e-10
ZNF624,1.0426350110271445e-10
SLC18A1,1.0423329775082217e-10
HPRT1,1.0422308335032604e-10
ZSCAN32,1.0384114953970757e-10
SLC37A1,1.0362559403177502e-10
ZNF530,1.0328095450895609e-10
ZNF775,1.0322008214855209e-10
COX6C,1.0292138778778704e-10
UQCRB-AS1,1.0264905456012032e-10
ZNNT1,1.0251944555366565e-10
MCCC1,1.0242688774042191e-10
GALM,1.0230139012190725e-10
CA13,1.0206817087235781e-10
OCLN,1.0188532594332135e-10
DTX2P1-UPK3BP1-PMS2P11,1.0182717802075715e-10
