GO_Pathways
positive regulation of defense response (GO:0031349)
glycerophospholipid biosynthetic process (GO:0046474)
cellular protein modification process (GO:0006464)
protein phosphorylation (GO:0006468)
regulation of transcription by RNA polymerase II (GO:0006357)
"regulation of transcription, DNA-templated (GO:0006355)"
negative regulation of apoptotic process (GO:0043066)
regulation of gene expression (GO:0010468)
positive regulation of transcription by RNA polymerase II (GO:0045944)
"positive regulation of transcription, DNA-templated (GO:0045893)"
positive regulation of response to external stimulus (GO:0032103)
positive regulation of cell migration (GO:0030335)
positive regulation of cell motility (GO:2000147)
regulation of cell migration (GO:0030334)
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)
regulation of ERK1 and ERK2 cascade (GO:0070372)
iron ion homeostasis (GO:0055072)
negative regulation of neuron death (GO:1901215)
regulation of GTPase activity (GO:0043087)
negative regulation of neuron apoptotic process (GO:0043524)
regulation of neuron apoptotic process (GO:0043523)
phosphorylation (GO:0016310)
regulation of heart rate by cardiac conduction (GO:0086091)
positive regulation of fat cell differentiation (GO:0045600)
regulation of fat cell differentiation (GO:0045598)
cell-cell junction organization (GO:0045216)
pyrimidine nucleobase metabolic process (GO:0006206)
phosphatidic acid biosynthetic process (GO:0006654)
activation of protein kinase activity (GO:0032147)
cAMP biosynthetic process (GO:0006171)
