Rest_Pathways
Signaling By Receptor Tyrosine Kinases R-HSA-9006934
Glycerophospholipid Biosynthesis R-HSA-1483206
Disease R-HSA-1643685
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814
Extracellular Matrix Organization R-HSA-1474244
Gene Expression (Transcription) R-HSA-74160
G1/S-Specific Transcription R-HSA-69205
Metabolism R-HSA-1430728
Phospholipid Metabolism R-HSA-1483257
Glycerophospholipid metabolism
Metabolism Of Lipids R-HSA-556833
Diseases Of Glycosylation R-HSA-3781865
Diseases Of Metabolism R-HSA-5668914
RNA Polymerase II Transcription R-HSA-73857
Collagen Chain Trimerization R-HSA-8948216
Collagen Degradation R-HSA-1442490
Collagen Formation R-HSA-1474290
