source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
FGR	IGHV3-33	FGR	IGHV3-33	0.1496	-0.0068	0.0377	-0.0241	0.9436
FGR	IGHV5-78	FGR	IGHV5-78	0.2414	0.3368	0.3869	0.7527	0.0003
FGR	IGKV1-27	FGR	IGKV1-27	0.1795	0.0712	0.0189	0.1652	0.4580
FGR	IGKV1-6	FGR	IGKV1-6	0.1896	0.1925	0.2092	0.3263	0.0430
FGR	IGKV3D-15	FGR	IGKV3D-15	0.2295	0.1382	0.0886	0.4083	0.1482
FGR	IGKV5-2	FGR	IGKV5-2	0.2775	-0.0023	-0.0118	-0.0078	0.9810
FGR	IGLC2	FGR	IGLC2	0.2516	0.1899	0.1874	0.8259	0.0459
FGR	IGLV5-52	FGR	IGLV5-52	0.4447	0.2822	0.2205	0.3418	0.0027
FGR	IGLV9-49	FGR	IGLV9-49	0.4165	-0.0087	0.0157	-0.0210	0.9279
FGR	IGSF11	FGR	IGSF11	0.1655	-0.1365	-0.1978	-0.2208	0.1531
FGR	IGSF9	FGR	IGSF9	0.2759	-0.0299	-0.0476	-0.0527	0.7557
FGR	IHH	FGR	IHH	0.3368	0.0742	0.0563	0.0836	0.4390
FGR	IKBKB	FGR	IKBKB	0.6101	0.7247	0.7508	0.3835	0.0000
FGR	IKZF5	FGR	IKZF5	0.1502	-0.0427	-0.0821	-0.0240	0.6565
FGR	IL10	FGR	IL10	0.3229	0.2056	0.2031	0.5727	0.0304
FGR	IL10RB	FGR	IL10RB	0.2304	0.2593	0.2457	0.1565	0.0060
FGR	IL11RA	FGR	IL11RA	0.4712	0.4703	0.4751	0.2594	0.0000
FGR	IL12RB1	FGR	IL12RB1	0.2352	0.4844	0.4815	0.3360	0.0000
FGR	IL17B	FGR	IL17B	0.1958	0.2290	0.2291	0.2621	0.0156
FGR	IL17RA	FGR	IL17RA	0.2732	0.3409	0.2511	0.1729	0.0003
FGR	IL2	FGR	IL2	0.4077	0.0194	0.0490	0.0197	0.8397
FGR	IL21R-AS1	FGR	IL21R-AS1	0.1724	-0.2211	-0.2147	-0.2905	0.0197
FGR	IL22	FGR	IL22	0.3438	0.0520	0.0414	0.1242	0.5876
FGR	IL22RA2	FGR	IL22RA2	0.2450	0.1557	0.1599	0.1622	0.1028
FGR	IL23A	FGR	IL23A	0.2685	0.0742	0.1362	0.0800	0.4387
FGR	IL24	FGR	IL24	0.3575	0.5887	0.5883	0.5217	0.0000
FGR	IL27RA	FGR	IL27RA	0.3490	0.6403	0.6774	0.6573	0.0000
FGR	IL32	FGR	IL32	0.2967	0.3169	0.2774	0.6442	0.0007
FGR	IL4I1	FGR	IL4I1	0.1982	0.1888	0.1546	0.2268	0.0472
FGR	IL4R	FGR	IL4R	0.2807	0.4997	0.6151	0.5640	0.0000
FGR	IL6ST-DT	FGR	IL6ST-DT	0.1485	0.0728	0.0473	0.0939	0.4475
FGR	IL9RP3	FGR	IL9RP3	0.1706	0.2591	0.2904	0.3891	0.0060
FGR	ILRUNP1	FGR	ILRUNP1	0.1937	0.1566	0.1930	0.1603	0.1007
FGR	IMPDH1	FGR	IMPDH1	0.2151	0.5915	0.5403	0.4101	0.0000
FGR	ING1	FGR	ING1	0.2754	0.4062	0.4180	0.2735	0.0000
FGR	ING5	FGR	ING5	0.4245	0.3300	0.3095	0.1645	0.0004
FGR	INPP5A	FGR	INPP5A	0.1818	0.1606	0.1491	0.0885	0.0922
FGR	INPP5E	FGR	INPP5E	0.3774	0.5935	0.5902	0.3452	0.0000
FGR	INPP5K	FGR	INPP5K	0.1995	0.0900	0.1073	0.0510	0.3475
FGR	INSRR	FGR	INSRR	0.1961	-0.1520	-0.1830	-0.1838	0.1112
