source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
CAPN15	STAM-DT	CAPN15	STAM-DT	0.1669	0.0683	0.1280	0.1314	0.4761
CAPN15	STAMBP	CAPN15	STAMBP	0.5095	0.4582	0.6351	0.2997	0.0000
CAPN15	STAT2	CAPN15	STAT2	0.3055	0.4900	0.5635	0.4552	0.0000
CAPN15	STAT5B	CAPN15	STAT5B	0.3894	0.4804	0.5256	0.4648	0.0000
CAPN15	STAT6	CAPN15	STAT6	0.4919	0.6992	0.7919	0.5264	0.0000
CAPN15	STAU2-AS1	CAPN15	STAU2-AS1	0.1504	0.4810	0.4850	0.7638	0.0000
CAPN15	STEAP1B	CAPN15	STEAP1B	0.1699	-0.2053	-0.2179	-0.4895	0.0307
CAPN15	STEAP3	CAPN15	STEAP3	0.3091	0.5964	0.5288	1.2722	0.0000
CAPN15	STEAP3-AS1	CAPN15	STEAP3-AS1	0.4166	0.5190	0.5471	0.8534	0.0000
CAPN15	STIP1	CAPN15	STIP1	0.3416	0.1836	0.3317	0.1680	0.0538
CAPN15	STIP1P3	CAPN15	STIP1P3	0.3478	0.1665	0.2535	0.2026	0.0808
CAPN15	STK11	CAPN15	STK11	0.4733	0.8151	0.7881	0.6907	0.0000
CAPN15	STK16P1	CAPN15	STK16P1	0.2576	0.1847	0.2250	0.2618	0.0523
CAPN15	STK25	CAPN15	STK25	0.4895	0.7593	0.7353	0.6240	0.0000
CAPN15	STK32B	CAPN15	STK32B	0.1545	-0.0056	-0.0653	-0.0322	0.9538
CAPN15	STK38	CAPN15	STK38	0.2350	0.2075	0.2106	0.2169	0.0289
CAPN15	STK40	CAPN15	STK40	0.2997	0.6346	0.6567	0.5309	0.0000
CAPN15	STKLD1	CAPN15	STKLD1	0.4428	0.3659	0.4424	0.3396	0.0001
CAPN15	STPG2	CAPN15	STPG2	0.2743	0.1080	0.1719	0.1573	0.2591
CAPN15	STPG3	CAPN15	STPG3	0.4269	0.4804	0.4596	0.9225	0.0000
CAPN15	STRBP	CAPN15	STRBP	0.2313	0.4706	0.5955	0.3840	0.0000
CAPN15	STRC	CAPN15	STRC	0.3672	0.0028	0.0481	0.0035	0.9767
